"","Davies1_father","Davies1_mother","Davies10_father","Davies13_father","Davies13_mother","Davies6_father","Davies6_mother","Davies8_father","Davies8_mother","Jewell2_father","Jewell2_mother","Jewell3_father","Jewell3_mother","Jewell5_mother","Jewell6_mother","Jewell7_mother","Jewell8_father","Jewell8_mother","Palms1_father","Palms2_father","Palms2_mother","Palms4_father","Palms4_mother","Palms5_father","Palms5_mother","Parke2_father","Parke2_mother","Parke4_father","Parke4_mother","Parke5_father","Parke5_mother","Switzer2_mother","Switzer4_father","Switzer4_mother","Switzer6_father","Switzer6_mother","Switzer7_father","Switzer7_mother","Davies13xDavies1","Davies1xDavies8","Davies6xDavies1","Davies8xDavies10","Davies8xDavies6","Jewell2xDavies8","Jewell2xJewell8","Jewell2xPalms1","Jewell2xPalms4","Jewell3xDavies1","Jewell3xPalms1","Jewell5xPalms4","Jewell5xPalms5","Jewell6xPalms1","Jewell6xPalms4","Jewell7xDavies1","Jewell8xDavies1","Jewell8xDavies13","Jewell8xDavies6","Jewell8xJewell2","Jewell8xJewell3","Jewell8xPalms1","Jewell8xPalms4","Jewell8xPalms5","Palms2xDavies1","Palms2xPalms5","Palms4xDavies1","Palms4xPalms2","Palms5xPalms4","Parke2xParke5","Parke4xDavies1","Parke4xParke2","Parke5xDavies10","Parke5xDavies6","Parke5xParke4","Switzer2xDavies1","Switzer2xDavies6","Switzer4xDavies8","Switzer4xSwitzer7","Switzer6xDavies1","Switzer6xSwitzer4","Switzer7xDavies10","Switzer7xSwitzer6"
"Davies1_father",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0
"Davies1_mother",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davies10_father",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0
"Davies13_father",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davies13_mother",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davies6_father",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"Davies6_mother",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davies8_father",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"Davies8_mother",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jewell2_father",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
