,Temp,Species,Family,region,Crosstype,N,mean,sd,se,ci,Mom,Dad
1,AMB,A.ten,DAV13xDAV1,central,Individual,9,97.77777778,6.666666667,2.222222222,5.124453634,Davies13,Davies1
2,AMB,A.ten,DAV1xDAV8,central,Individual,9,100,0,0,0,Davies1,Davies8
3,AMB,A.ten,DAV6xDAV1,central,Individual,8,100,0,0,0,Davies6,Davies1
4,AMB,A.ten,DAV8xDAV10,central,Individual,9,89.41798942,12.92426873,4.308089575,9.934472375,Davies8,Davies10
5,AMB,A.ten,DAV8xDAV6,central,Individual,7,97.61904762,6.299407883,2.380952381,5.825980598,Davies8,Davies6
6,AMB,A.ten,JEW2xDAV8,hybrid,Individual,4,100,0,0,0,Jewell2,Davies8
7,AMB,A.ten,JEW2xJEW8,north,Individual,5,93.33333333,14.90711985,6.666666667,18.50963403,Jewell2,Jewell8
8,AMB,A.ten,JEW2xPAL1,hybrid,Individual,8,88.54166667,18.33198047,6.481333851,15.32591921,Jewell2,Palms1
9,AMB,A.ten,JEW2xPAL4,hybrid,Individual,5,80,44.72135955,20,55.5289021,Jewell2,Palms4
10,AMB,A.ten,JEW3xDAV1,hybrid,Individual,9,96.2962963,11.11111111,3.703703704,8.540756056,Jewell3,Davies1
11,AMB,A.ten,JEW3xPAL1,hybrid,Individual,8,100,0,0,0,Jewell3,Palms1
12,AMB,A.ten,JEW5xPAL4,hybrid,Individual,7,85.71428571,37.7964473,14.28571429,34.95588359,Jewell5,Palms4
13,AMB,A.ten,JEW5xPAL5,hybrid,Individual,4,75,50,25,79.56115763,Jewell5,Palms5
14,AMB,A.ten,JEW6xPAL1,hybrid,Individual,5,100,0,0,0,Jewell6,Palms1
15,AMB,A.ten,JEW6xPAL4,hybrid,Individual,4,95.83333333,8.333333333,4.166666667,13.26019294,Jewell6,Palms4
16,AMB,A.ten,JEW7xDAV1,hybrid,Individual,9,93.33333333,10,3.333333333,7.686680451,Jewell7,Davies1
17,AMB,A.ten,JEW8xDAV1,hybrid,Individual,18,86.2962963,32.35604395,7.626392697,16.09028211,Jewell8,Davies1
18,AMB,A.ten,JEW8xDAV13,hybrid,Individual,9,95.30864198,9.325687639,3.108562546,7.168358086,Jewell8,Davies13
19,AMB,A.ten,JEW8xDAV6,hybrid,Individual,9,92.1957672,12.09829462,4.032764873,9.299572473,Jewell8,Davies6
20,AMB,A.ten,JEW8xJEW2,north,Individual,10,92.73809524,12.52925526,3.9620984,8.962889276,Jewell8,Jewell2
21,AMB,A.ten,JEW8xJEW3,north,Individual,9,98.14814815,5.555555556,1.851851852,4.270378028,Jewell8,Jewell3
22,AMB,A.ten,JEW8xPAL1,hybrid,Individual,9,93.05555556,20.83333333,6.944444444,16.01391761,Jewell8,Palms1
23,AMB,A.ten,JEW8xPAL4,hybrid,Individual,9,98.61111111,4.166666667,1.388888889,3.202783521,Jewell8,Palms4
