,Temp,Species,Reefcross,region,Crosstype,N,mean,sd,se,ci
1,AMB,A.ten,DAVxDAV,central,Individual Cross,43,97.20376523,5.967292665,0.9100036,1.836461615
2,AMB,A.ten,JEWxDAV,hybrid,Individual Cross,58,93.87781758,17.06589297,2.24086153,4.487247813
3,AMB,A.ten,JEWxJEW,north,Individual Cross,25,96.51111111,7.548744206,1.509748841,3.115968462
4,AMB,A.ten,JEWxPAL,hybrid,Individual Cross,71,92.48435055,21.73563947,2.579545825,5.144741925
5,AMB,A.ten,PALxDAV,central,Individual Cross,17,97.49711649,6.797140703,1.648548769,3.494767271
6,AMB,A.ten,PALxPAL,central,Individual Cross,25,98.5,5.496210816,1.099242163,2.268724319
7,AMB,A.ten,PARxDAV,hybrid,Individual Cross,26,96.68707361,7.034216536,1.379523361,2.841181546
8,AMB,A.ten,PARxPAR,north,Individual Cross,26,95.43956044,8.012304117,1.571342117,3.23623967
9,AMB,A.ten,SWIxDAV,hybrid,Individual Cross,45,94.6031746,14.49243915,2.160405274,4.354010736
10,AMB,A.ten,SWIxSWI,north,Individual Cross,27,92.0354337,17.78203711,3.422154638,7.034339603
11,HOT,A.ten,DAVxDAV,central,Individual Cross,44,77.81019486,23.30414467,3.513231997,7.085107561
12,HOT,A.ten,JEWxDAV,hybrid,Individual Cross,56,80.4216538,28.18696397,3.766641499,7.548518246
13,HOT,A.ten,JEWxJEW,north,Individual Cross,26,87.06501832,16.57008479,3.249660987,6.692802087
14,HOT,A.ten,JEWxPAL,hybrid,Individual Cross,80,80.57224026,24.49536019,2.738664526,5.451175382
15,HOT,A.ten,PALxDAV,central,Individual Cross,18,74.60277377,23.55951421,5.553030754,11.71587079
16,HOT,A.ten,PALxPAL,central,Individual Cross,27,76.29335685,26.67855665,5.134290621,10.55368552
17,HOT,A.ten,PARxDAV,hybrid,Individual Cross,26,79.42099567,20.39100699,3.999005482,8.236105962
18,HOT,A.ten,PARxPAR,north,Individual Cross,27,84.9286516,19.60140722,3.772292578,7.754058445
19,HOT,A.ten,SWIxDAV,hybrid,Individual Cross,45,79.52531419,20.56285978,3.065330152,6.177766994
20,HOT,A.ten,SWIxSWI,north,Individual Cross,28,74.05998763,18.07544136,3.415937334,7.008924464
