Temp,Timepoint,Culture,type,Mom,Dad,mom_origin,dad_origin,region,maternal_mean,maternal_se,N,mean,sd,se,ci
Ambient,0,DAV12xDAV1,individual,Davies12,Davies1,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,DAV13xDAV1,individual,Davies13,Davies1,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,DAV1xDAV8,individual,Davies1,Davies8,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,DAV6xDAV1,individual,Davies6,Davies1,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,DAV8xDAV10,individual,Davies8,Davies10,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,DAV8xDAV6,individual,Davies8,Davies6,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW(bottom)xDAV6bulk,bulk,Jewell(bottom),Davies6bulk,north,central,NA,NA,NA,6,100,0,0,0
Ambient,0,JEW2xDAV1,individual,Jewell2,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW2xDAV13,individual,Jewell2,Davies13,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW2xJEW8,individual,Jewell2,Jewell8,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW2xPAL1,individual,Jewell2,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW2xPAL4,individual,Jewell2,Palms4,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW2xPAL5,individual,Jewell2,Palms5,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW3xDAV1,individual,Jewell3,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW3xPAL1,individual,Jewell3,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW5xPAL1,individual,Jewell5,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW6xDAV1,individual,Jewell6,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW6xPAL1,individual,Jewell6,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW6xPAL4,individual,Jewell6,Palms4,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW7xDAV1,individual,Jewell7,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xDAV1,individual,Jewell8,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xDAV10,individual,Jewell8,Davies10,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xDAV13,individual,Jewell8,Davies13,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xDAV6,individual,Jewell8,Davies6,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xJEW2,individual,Jewell8,Jewell2,north,north,NA,NA,NA,6,100,0,0,0
Ambient,0,JEW8xJEW3,individual,Jewell8,Jewell3,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xPAL1,individual,Jewell8,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xPAL4,individual,Jewell8,Palms4,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEW8xPAL5,individual,Jewell8,Palms5,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,JEWBulkxPARBulk,bulk,JewellBulk,ParkeBulk,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,JEWBulkxSWIBulk,bulk,JewellBulk,SwitzerBulk,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,PALBulkxDAV6Bulk,bulk,PalmsBulk,Davies6Bulk,central,central,NA,NA,NA,6,100,0,0,0
Ambient,0,PAL2xDAV1,individual,Palms2,Davies1,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAL2xPAL5,individual,Palms2,Palms5,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAL4xDAV1,individual,Palms4,Davies1,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAL4xPAL2,individual,Palms4,Palms2,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAL5xPAL4,individual,Palms5,Palms4,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR2xDAV8,individual,Parke2,Davies8,central,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR2xPAR5,individual,Parke2,Parke5,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR4xDAV1,individual,Parke4,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR4xPAR2,individual,Parke4,Parke2,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR5xDAV10,individual,Parke5,Davies10,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR5xDAV6,individual,Parke5,Davies6,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR5xPAR4,individual,Parke5,Parke4,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,PAR6bulkxDAV6bulk,bulk,Parke6Bulk,Davies6bulk,central,central,NA,NA,NA,6,100,0,0,0
Ambient,0,PAR6bulkxPAR6bulk,bulk,Parke6Bulk,Parke6bulk,north,north,NA,NA,NA,6,100,0,0,0
Ambient,0,PARbulkxJEWbulk,bulk,ParkeBulk,Jewellbulk,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,PARBulkxSWIBulk,bulk,ParkeBulk,SwitzerBulk,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI1xSWIVoucher,individual,Switzer1,SwitzerVoucher,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI2xDAV1,individual,Switzer2,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI2xDAV10,individual,Switzer2,Davies10,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI4xDAV8,individual,Switzer4,Davies8,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI4xSWI7,individual,Switzer4,Switzer7,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI6BulkxDAV6Bulk,bulk,Switzer6Bulk,Davies6Bulk,north,central,NA,NA,NA,6,100,0,0,0
Ambient,0,SWI6BulkxSWI6Bulk,bulk,Switzer6Bulk,Switzer6Bulk,north,north,NA,NA,NA,6,100,0,0,0
Ambient,0,SWI6xDAV1,individual,Switzer6,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI6xDAV12,individual,Switzer6,Davies12,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI6xDAV4,individual,Switzer6,Davies4,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI7xDAV10,individual,Switzer7,Davies10,north,central,NA,NA,NA,3,100,0,0,0
Ambient,0,SWI7xSWI6,individual,Switzer7,Switzer6,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,SWIBulkxJEWBulk,bulk,SwitzerBulk,JewellBulk,north,north,NA,NA,NA,3,100,0,0,0
Ambient,0,SWIBulkxPARBulk,bulk,SwitzerBulk,ParkeBulk,north,north,NA,NA,NA,3,100,0,0,0
Ambient,1,DAV12xDAV1,individual,Davies12,Davies1,central,central,NA,NA,NA,3,66.66666667,53.46338311,30.86709863,132.8104062
Ambient,1,DAV13xDAV1,individual,Davies13,Davies1,central,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,DAV1xDAV8,individual,Davies1,Davies8,central,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,DAV6xDAV1,individual,Davies6,Davies1,central,central,NA,NA,NA,3,100,0,0,0
Ambient,1,DAV8xDAV10,individual,Davies8,Davies10,central,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,DAV8xDAV6,individual,Davies8,Davies6,central,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW(bottom)xDAV6bulk,bulk,Jewell(bottom),Davies6bulk,north,central,NA,NA,NA,6,99.16666667,2.041241452,0.833333333,2.14215153
Ambient,1,JEW2xDAV1,individual,Jewell2,Davies1,north,central,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Ambient,1,JEW2xDAV13,individual,Jewell2,Davies13,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW2xJEW8,individual,Jewell2,Jewell8,north,north,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW2xPAL1,individual,Jewell2,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW2xPAL4,individual,Jewell2,Palms4,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW2xPAL5,individual,Jewell2,Palms5,north,central,NA,NA,NA,3,93.33333333,5.773502692,3.333333333,14.34217577
Ambient,1,JEW3xDAV1,individual,Jewell3,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW3xPAL1,individual,Jewell3,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW5xPAL1,individual,Jewell5,Palms1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW6xDAV1,individual,Jewell6,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW6xPAL1,individual,Jewell6,Palms1,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW6xPAL4,individual,Jewell6,Palms4,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW7xDAV1,individual,Jewell7,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEW8xDAV1,individual,Jewell8,Davies1,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW8xDAV10,individual,Jewell8,Davies10,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW8xDAV13,individual,Jewell8,Davies13,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW8xDAV6,individual,Jewell8,Davies6,north,central,NA,NA,NA,3,95,5,2.886751346,12.42068856
Ambient,1,JEW8xJEW2,individual,Jewell8,Jewell2,north,north,NA,NA,NA,6,99.16666667,2.041241452,0.833333333,2.14215153
Ambient,1,JEW8xJEW3,individual,Jewell8,Jewell3,north,north,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW8xPAL1,individual,Jewell8,Palms1,north,central,NA,NA,NA,3,96.66666667,5.773502692,3.333333333,14.34217577
Ambient,1,JEW8xPAL4,individual,Jewell8,Palms4,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,JEW8xPAL5,individual,Jewell8,Palms5,north,central,NA,NA,NA,3,100,0,0,0
Ambient,1,JEWBulkxPARBulk,bulk,JewellBulk,ParkeBulk,north,north,NA,NA,NA,3,100,0,0,0
