Temp,Timepoint,popcross2,popcross,region,type,N,mean,sd,se,ci
Ambient,0,DaviesxDavies,DAVxDAV,central,individuals,18,100,0,0,0
Ambient,0,JewellBulkxParkeBulk,JEWBulkxPARBulk,NA,bulk,3,100,0,0,0
Ambient,0,JewellBulkxSwitzerBulk,JEWBulkxSWIBulk,NA,bulk,3,100,0,0,0
Ambient,0,JewellxDavies,JEWxDAV,hybrid,individuals,27,100,0,0,0
Ambient,0,JewellxJewell,JEWxJEW,north,individuals,12,100,0,0,0
Ambient,0,JewellxPalms,JEWxPAL,hybrid,individuals,30,100,0,0,0
Ambient,0,PalmsxDavies,PALxDAV,central,individuals,6,100,0,0,0
Ambient,0,PalmsxPalms,PALxPAL,central,individuals,9,100,0,0,0
Ambient,0,ParkeBulkxJewellBulk,PARBulkxJEWBulk,NA,bulk,3,100,0,0,0
Ambient,0,ParkeBulkxSwitzerBulk,PARBulkxSWIBulk,NA,bulk,3,100,0,0,0
Ambient,0,ParkexDavies,PARxDAV,hybrid,individuals,12,100,0,0,0
Ambient,0,ParkexParke,PARxPAR,north,individuals,9,100,0,0,0
Ambient,0,SwitzerBulkxJewellBulk,SWIBulkxJEWBulk,NA,bulk,3,100,0,0,0
Ambient,0,SwitzerBulkxParkeBulk,SWIBulkxPARBulk,NA,bulk,3,100,0,0,0
Ambient,0,SwitzerxDavies,SWIxDAV,hybrid,individuals,27,100,0,0,0
Ambient,0,SwitzerxSwitzer,SWIxSWI,north,individuals,12,100,0,0,0
Ambient,1,DaviesxDavies,DAVxDAV,central,individuals,18,93.61111111,22.21588962,5.2363354,11.047702
Ambient,1,JewellBulkxParkeBulk,JEWBulkxPARBulk,NA,bulk,3,100,0,0,0
Ambient,1,JewellBulkxSwitzerBulk,JEWBulkxSWIBulk,NA,bulk,3,100,0,0,0
Ambient,1,JewellxDavies,JEWxDAV,hybrid,individuals,27,98.51851852,2.708538782,0.521258532,1.071462257
Ambient,1,JewellxJewell,JEWxJEW,north,individuals,12,98.75,2.261335084,0.65279121,1.436783765
Ambient,1,JewellxPalms,JEWxPAL,hybrid,individuals,30,98.5,3.256293641,0.59451516,1.215920029
Ambient,1,PalmsxDavies,PALxDAV,central,individuals,6,100,0,0,0
Ambient,1,PalmsxPalms,PALxPAL,central,individuals,9,99.44444444,1.666666667,0.555555556,1.281113408
Ambient,1,ParkeBulkxJewellBulk,PARBulkxJEWBulk,NA,bulk,3,100,0,0,0
Ambient,1,ParkeBulkxSwitzerBulk,PARBulkxSWIBulk,NA,bulk,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,ParkexDavies,PARxDAV,hybrid,individuals,12,98.75,2.261335084,0.65279121,1.436783765
Ambient,1,ParkexParke,PARxPAR,north,individuals,9,99.44444444,1.666666667,0.555555556,1.281113408
Ambient,1,SwitzerBulkxJewellBulk,SWIBulkxJEWBulk,NA,bulk,3,98.33333333,2.886751346,1.666666667,7.171087883
Ambient,1,SwitzerBulkxParkeBulk,SWIBulkxPARBulk,NA,bulk,3,95,5,2.886751346,12.42068856
Ambient,1,SwitzerxDavies,SWIxDAV,hybrid,individuals,27,94.44444444,13.54006401,2.605786533,5.35627093
Ambient,1,SwitzerxSwitzer,SWIxSWI,north,individuals,12,99.16666667,1.94624736,0.561833219,1.236586577
Ambient,2,DaviesxDavies,DAVxDAV,central,individuals,18,92.27272727,23.27312416,5.485527971,11.57345237
Ambient,2,JewellBulkxParkeBulk,JEWBulkxPARBulk,NA,bulk,3,90.2173913,13.35674536,7.711520526,33.17999484
Ambient,2,JewellBulkxSwitzerBulk,JEWBulkxSWIBulk,NA,bulk,3,85.5273752,6.975705038,4.027425181,17.32861195
Ambient,2,JewellxDavies,JEWxDAV,hybrid,individuals,27,97.79541446,3.450070335,0.663966345,1.364802369
Ambient,2,JewellxJewell,JEWxJEW,north,individuals,12,97.5,2.611164839,0.753778361,1.659054988
Ambient,2,JewellxPalms,JEWxPAL,hybrid,individuals,30,98.03174603,3.07650853,0.56169104,1.148787165
Ambient,2,PalmsxDavies,PALxDAV,central,individuals,6,99.16666667,2.041241452,0.833333333,2.14215153
Ambient,2,PalmsxPalms,PALxPAL,central,individuals,9,98.33333333,2.5,0.833333333,1.921670113
Ambient,2,ParkeBulkxJewellBulk,PARBulkxJEWBulk,NA,bulk,3,87.37922706,7.114592737,4.107612032,17.67362812
Ambient,2,ParkeBulkxSwitzerBulk,PARBulkxSWIBulk,NA,bulk,3,87.31884058,7.506560877,4.333914943,18.64733096
Ambient,2,ParkexDavies,PARxDAV,hybrid,individuals,12,97.5,4.522670169,1.30558242,2.873567531
Ambient,2,ParkexParke,PARxPAR,north,individuals,9,97.8042328,2.60487991,0.868293303,2.002287948
Ambient,2,SwitzerBulkxJewellBulk,SWIBulkxJEWBulk,NA,bulk,3,84.37417655,6.070164887,3.504611332,15.07912551
Ambient,2,SwitzerBulkxParkeBulk,SWIBulkxPARBulk,NA,bulk,3,76.06060606,12.10605113,6.989431876,30.07309814
Ambient,2,SwitzerxDavies,SWIxDAV,hybrid,individuals,15,98.34920635,3.068258484,0.792220934,1.699144913
