IID,Reef,alf
A.ten_Palms_5,Palms,0.13172043
A.ten_Switzer_2,Switzer,0.137096774
A.ten_B.Jewell_7,Jewell,0.178763441
A.ten_Davies_4,Davies,0.150537634
A.ten_Davies_12,Davies,0.166666667
A.ten_Palms_6,Palms,0.556451613
A.ten_Switzer_3,Switzer,0.13844086
A.ten_B.Jewell_8,Jewell,0.536290323
A.ten_Davies_5,Davies,0.112903226
A.ten_Davies_13,Davies,0.322580645
A.ten_Parke_1,Parke,0.14516129
A.ten_Switzer_4,Switzer,0.029569892
A.ten_B.Jewell_1,Jewell,0.110215054
A.ten_Backnumbers_1,Backnumbers,0.153225806
A.ten_Davies_6,Davies,0.067204301
A.ten_Davies_D1,Davies,0.11827957
A.ten_Parke_2,Parke,0.092741935
A.ten_Switzer_5,Switzer,0.13172043
A.ten_B.Jewell_2,Jewell,0.342741935
A.ten_Backnumbers_2,Backnumbers,0.176075269
A.ten_Davies_7,Davies,0.15188172
A.ten_Davies_D2,Davies,0.114247312
A.ten_Parke_3,Parke,0.133064516
A.ten_Switzer_6,Switzer,0.025537634
A.ten_B.Jewell_3,Jewell,0.298387097
A.ten_Backnumbers_3,Backnumbers,0.15188172
A.ten_Davies_8,Davies,0.114247312
A.ten_Palms_1,Palms,0.551075269
A.ten_Parke_4,Parke,0.047043011
A.ten_Switzer_7,Switzer,0.043010753
A.ten_B.Jewell_4,Jewell,0.119623656
A.ten_Davies_1,Davies,0.041666667
A.ten_Davies_9,Davies,0.137096774
A.ten_Palms_2,Palms,0.053763441
A.ten_Parke_5,Parke,0.051075269
A.ten_B.Jewell_5,Jewell,0.162634409
A.ten_Davies_2,Davies,0.14516129
A.ten_Davies_10,Davies,0.279569892
A.ten_Palms_3,Palms,0.141129032
A.ten_Switzer_1,Switzer,0.158602151
A.ten_B.Jewell_6,Jewell,0.509408602
A.ten_Davies_3,Davies,0.184139785
A.ten_Davies_11,Davies,0.182795699
A.ten_Palms_4,Palms,0.055107527
