IID,Reef,alf
A.ten_Palms_5,Palms,0.25
A.ten_Switzer_2,Switzer,0.15625
A.ten_B.Jewell_7,Jewell,0.265625
A.ten_Davies_4,Davies,0.0625
A.ten_Davies_12,Davies,0.171875
A.ten_Palms_6,Palms,0.484375
A.ten_Switzer_3,Switzer,0.15625
A.ten_B.Jewell_8,Jewell,0.6875
A.ten_Davies_5,Davies,0.078125
A.ten_Davies_13,Davies,0.390625
A.ten_Parke_1,Parke,0.125
A.ten_Switzer_4,Switzer,0
A.ten_B.Jewell_1,Jewell,0.078125
A.ten_Backnumbers_1,Backnumbers,0.09375
A.ten_Davies_6,Davies,0.046875
A.ten_Davies_D1,Davies,0.15625
A.ten_Parke_2,Parke,0.046875
A.ten_Switzer_5,Switzer,0.15625
A.ten_B.Jewell_2,Jewell,0.4375
A.ten_Backnumbers_2,Backnumbers,0.09375
A.ten_Davies_7,Davies,0.09375
A.ten_Davies_D2,Davies,0.15625
A.ten_Parke_3,Parke,0.203125
A.ten_Switzer_6,Switzer,0.015625
A.ten_B.Jewell_3,Jewell,0.234375
A.ten_Backnumbers_3,Backnumbers,0.140625
A.ten_Davies_8,Davies,0.0625
A.ten_Palms_1,Palms,0.484375
A.ten_Parke_4,Parke,0.015625
A.ten_Switzer_7,Switzer,0.078125
A.ten_B.Jewell_4,Jewell,0.046875
A.ten_Davies_1,Davies,0
A.ten_Davies_9,Davies,0.125
A.ten_Palms_2,Palms,0
A.ten_Parke_5,Parke,0
A.ten_B.Jewell_5,Jewell,0.171875
A.ten_Davies_2,Davies,0.0625
A.ten_Davies_10,Davies,0.3125
A.ten_Palms_3,Palms,0.140625
A.ten_Switzer_1,Switzer,0.0625
A.ten_B.Jewell_6,Jewell,0.421875
A.ten_Davies_3,Davies,0.171875
A.ten_Davies_11,Davies,0.125
A.ten_Palms_4,Palms,0.046875
