gene,r,p_adj
aten_0.1.m1.18643.m1,8,0.082841021
aten_0.1.m1.14149.m1,-1,1
aten_0.1.m1.14149.m1,-1,1
aten_0.1.m1.12467.m1,-4,1
aten_0.1.m1.16807.m1,1,1
aten_0.1.m1.14728.m1,10,0.714891027
aten_0.1.m1.14728.m1,10,0.714891027
aten_0.1.m1.21992.m1,0,1
aten_0.1.m1.13582.m1,0,1
aten_0.1.m1.13582.m1,0,1
aten_0.1.m1.827.m1,0,1
aten_0.1.m1.17960.m1,-17,0.170510191
aten_0.1.m1.17150.m1,-7,0.919324265
aten_0.1.m1.17150.m1,-7,0.919324265
aten_0.1.m1.8050.m1,0,1
aten_0.1.m1.8050.m1,0,1
aten_0.1.m1.4867.m1,-12,0.365974035
aten_0.1.m1.21866.m1,0,1
aten_0.1.m1.21866.m1,0,1
aten_0.1.m1.14307.m1,0,1
aten_0.1.m1.23346.m1,0,1
aten_0.1.m1.5316.m1,0,1
aten_0.1.m1.32730.m1,-4,1
aten_0.1.m1.28097.m1,0,1
aten_0.1.m1.16178.m1,0,1
aten_0.1.m1.5799.m1,0,1
aten_0.1.m1.5513.m1,1,1
aten_0.1.m1.5523.m1,1,1
aten_0.1.m1.13460.m1,0,1
aten_0.1.m1.9389.m1,0,1
aten_0.1.m1.28330.m1,0,1
aten_0.1.m1.32197.m1,7,0.823946746
aten_0.1.m1.13679.m1,6,0.225787622
aten_0.1.m1.13478.m1,0,1
aten_0.1.m1.31019.m1,0,1
aten_0.1.m1.3345.m1,0,1
aten_0.1.m1.3345.m1,0,1
aten_0.1.m1.33483.m1,-25,0.020620777
aten_0.1.m1.33483.m1,-25,0.020620777
aten_0.1.m1.7188.m1,2,1
aten_0.1.m1.15578.m1,0,1
aten_0.1.m1.15578.m1,0,1
aten_0.1.m1.31218.m1,-4,1
aten_0.1.m1.17811.m1,0,1
aten_0.1.m1.5847.m1,-3,1
aten_0.1.m1.306.m1,5,1
aten_0.1.m1.24241.m1,0,1
aten_0.1.m1.24263.m1,-3,1
aten_0.1.m1.20768.m1,0,1
aten_0.1.m1.20768.m1,0,1
aten_0.1.m1.24306.m1,0,1
aten_0.1.m1.15608.m1,0,1
aten_0.1.m1.12066.m1,0,1
aten_0.1.m1.12066.m1,0,1
aten_0.1.m1.6331.m1,5,1
aten_0.1.m1.31368.m1,-9,0.566425697
aten_0.1.m1.31368.m1,-9,0.566425697
aten_0.1.m1.16735.m1,7,0.779650108
aten_0.1.m1.28558.m1,13,0.205980253
aten_0.1.m1.755.m1,1,1
aten_0.1.m1.755.m1,1,1
aten_0.1.m1.20666.m1,-1,1
aten_0.1.m1.20666.m1,-1,1
aten_0.1.m1.3681.m1,0,1
aten_0.1.m1.10903.m1,0,1
aten_0.1.m1.8061.m1,0,1
aten_0.1.m1.1656.m1,-6,0.496714564
aten_0.1.m1.1656.m1,-6,0.496714564
aten_0.1.m1.20680.m1,-6,1
aten_0.1.m1.5436.m1,-1,1
aten_0.1.m1.8191.m1,0,1
aten_0.1.m1.8191.m1,0,1
