no,IID,Lifestage,ReefCross,Region,Sex,Deviance
13,A.ten_B.Jewell_1,Adult,Jewell,North,Unknown,NA
19,A.ten_B.Jewell_2,Adult,Jewell,North,Unknown,0.446078431
25,A.ten_B.Jewell_3,Adult,Jewell,North,Unknown,0.376283847
31,A.ten_B.Jewell_4,Adult,Jewell,North,Unknown,NA
36,A.ten_B.Jewell_5,Adult,Jewell,North,Unknown,0.235294118
41,A.ten_B.Jewell_6,Adult,Jewell,North,Unknown,0.934640523
3,A.ten_B.Jewell_7,Adult,Jewell,North,Unknown,0.960784314
8,A.ten_B.Jewell_8,Adult,Jewell,North,Unknown,0.316993464
14,A.ten_Backnumbers_1,Adult,Backnumbers,Central,Unknown,NA
20,A.ten_Backnumbers_2,Adult,Backnumbers,Central,Unknown,NA
26,A.ten_Backnumbers_3,Adult,Backnumbers,Central,Unknown,NA
32,A.ten_Davies_1,Adult,Davies,Central,Unknown,0.373123608
38,A.ten_Davies_10,Adult,Davies,Central,Unknown,0.325490196
43,A.ten_Davies_11,Adult,Davies,Central,Unknown,NA
5,A.ten_Davies_12,Adult,Davies,Central,Unknown,0.68627451
10,A.ten_Davies_13,Adult,Davies,Central,Unknown,0.519607843
37,A.ten_Davies_2,Adult,Davies,Central,Unknown,NA
42,A.ten_Davies_3,Adult,Davies,Central,Unknown,NA
4,A.ten_Davies_4,Adult,Davies,Central,Unknown,NA
9,A.ten_Davies_5,Adult,Davies,Central,Unknown,NA
15,A.ten_Davies_6,Adult,Davies,Central,Unknown,0.117647059
21,A.ten_Davies_7,Adult,Davies,Central,Unknown,NA
27,A.ten_Davies_8,Adult,Davies,Central,Unknown,0.344771242
33,A.ten_Davies_9,Adult,Davies,Central,Unknown,NA
16,A.ten_Davies_D1,Adult,Davies,Central,Unknown,NA
22,A.ten_Davies_D2,Adult,Davies,Central,Unknown,NA
28,A.ten_Palms_1,Adult,Palms,Central,Unknown,0.470588235
34,A.ten_Palms_2,Adult,Palms,Central,Unknown,0.06372549
39,A.ten_Palms_3,Adult,Palms,Central,Unknown,NA
44,A.ten_Palms_4,Adult,Palms,Central,Unknown,0.286764706
1,A.ten_Palms_5,Adult,Palms,Central,Unknown,0.235294118
6,A.ten_Palms_6,Adult,Palms,Central,Unknown,NA
11,A.ten_Parke_1,Adult,Parke,North,Unknown,NA
17,A.ten_Parke_2,Adult,Parke,North,Unknown,0.253734827
23,A.ten_Parke_3,Adult,Parke,North,Unknown,NA
29,A.ten_Parke_4,Adult,Parke,North,Unknown,0.049019608
35,A.ten_Parke_5,Adult,Parke,North,Unknown,0.262371615
40,A.ten_Switzer_1,Adult,Switzer,North,Unknown,NA
2,A.ten_Switzer_2,Adult,Switzer,North,Unknown,0.254901961
7,A.ten_Switzer_3,Adult,Switzer,North,Unknown,NA
12,A.ten_Switzer_4,Adult,Switzer,North,Unknown,0.088235294
18,A.ten_Switzer_5,Adult,Switzer,North,Unknown,NA
24,A.ten_Switzer_6,Adult,Switzer,North,Unknown,0.058823529
30,A.ten_Switzer_7,Adult,Switzer,North,Unknown,0.034313725
