animal	culture	mother	father	survival
Davies13_mother	Davies13_mother	NA	NA	NA
Davies1_mother	Davies1_mother	NA	NA	NA
Davies6_mother	Davies6_mother	NA	NA	NA
Davies8_mother	Davies8_mother	NA	NA	NA
Jewell2_mother	Jewell2_mother	NA	NA	NA
Jewell3_mother	Jewell3_mother	NA	NA	NA
Jewell5_mother	Jewell5_mother	NA	NA	NA
Jewell6_mother	Jewell6_mother	NA	NA	NA
Jewell7_mother	Jewell7_mother	NA	NA	NA
Jewell8_mother	Jewell8_mother	NA	NA	NA
Palms2_mother	Palms2_mother	NA	NA	NA
Palms4_mother	Palms4_mother	NA	NA	NA
Palms5_mother	Palms5_mother	NA	NA	NA
Parke2_mother	Parke2_mother	NA	NA	NA
Parke4_mother	Parke4_mother	NA	NA	NA
Parke5_mother	Parke5_mother	NA	NA	NA
Switzer2_mother	Switzer2_mother	NA	NA	NA
Switzer4_mother	Switzer4_mother	NA	NA	NA
Switzer6_mother	Switzer6_mother	NA	NA	NA
Switzer7_mother	Switzer7_mother	NA	NA	NA
Davies1_father	Davies1_father	NA	NA	NA
Davies10_father	Davies10_father	NA	NA	NA
Davies13_father	Davies13_father	NA	NA	NA
Davies6_father	Davies6_father	NA	NA	NA
Davies8_father	Davies8_father	NA	NA	NA
Jewell2_father	Jewell2_father	NA	NA	NA
Jewell3_father	Jewell3_father	NA	NA	NA
Jewell8_father	Jewell8_father	NA	NA	NA
Palms1_father	Palms1_father	NA	NA	NA
Palms2_father	Palms2_father	NA	NA	NA
Palms4_father	Palms4_father	NA	NA	NA
Palms5_father	Palms5_father	NA	NA	NA
Parke2_father	Parke2_father	NA	NA	NA
Parke4_father	Parke4_father	NA	NA	NA
Parke5_father	Parke5_father	NA	NA	NA
Switzer4_father	Switzer4_father	NA	NA	NA
Switzer6_father	Switzer6_father	NA	NA	NA
Switzer7_father	Switzer7_father	NA	NA	NA
Davies13xDavies1	Davies13xDavies1	Davies13_mother	Davies1_father	70.79365079
Davies1xDavies8	Davies1xDavies8	Davies1_mother	Davies8_father	86.87905844
Davies6xDavies1	Davies6xDavies1	Davies6_mother	Davies1_father	77.40740741
Davies8xDavies10	Davies8xDavies10	Davies8_mother	Davies10_father	75.46296296
Davies8xDavies6	Davies8xDavies6	Davies8_mother	Davies6_father	54.88095238
Jewell2xDavies8	Jewell2xDavies8	Jewell2_mother	Davies8_father	66.66666667
Jewell2xJewell8	Jewell2xJewell8	Jewell2_mother	Jewell8_father	77.70833333
Jewell2xPalms1	Jewell2xPalms1	Jewell2_mother	Palms1_father	50.74074074
Jewell2xPalms4	Jewell2xPalms4	Jewell2_mother	Palms4_father	80.55555556
Jewell3xDavies1	Jewell3xDavies1	Jewell3_mother	Davies1_father	70.19400353
Jewell3xPalms1	Jewell3xPalms1	Jewell3_mother	Palms1_father	82.5
Jewell5xPalms4	Jewell5xPalms4	Jewell5_mother	Palms4_father	72.5
Jewell5xPalms5	Jewell5xPalms5	Jewell5_mother	Palms5_father	91.66666667
Jewell6xPalms1	Jewell6xPalms1	Jewell6_mother	Palms1_father	75
Jewell6xPalms4	Jewell6xPalms4	Jewell6_mother	Palms4_father	74.4047619
Jewell7xDavies1	Jewell7xDavies1	Jewell7_mother	Davies1_father	78.42261905
Jewell8xDavies1	Jewell8xDavies1	Jewell8_mother	Davies1_father	71.41570303
Jewell8xDavies13	Jewell8xDavies13	Jewell8_mother	Davies13_father	97.75533109
Jewell8xDavies6	Jewell8xDavies6	Jewell8_mother	Davies6_father	68.51851852
Jewell8xJewell2	Jewell8xJewell2	Jewell8_mother	Jewell2_father	87.21340388
Jewell8xJewell3	Jewell8xJewell3	Jewell8_mother	Jewell3_father	82.93650794
Jewell8xPalms1	Jewell8xPalms1	Jewell8_mother	Palms1_father	74.15343915
Jewell8xPalms4	Jewell8xPalms4	Jewell8_mother	Palms4_father	79.32098765
Jewell8xPalms5	Jewell8xPalms5	Jewell8_mother	Palms5_father	91.82539683
Palms2xDavies1	Palms2xDavies1	Palms2_mother	Davies1_father	70.83333333
Palms2xPalms5	Palms2xPalms5	Palms2_mother	Palms5_father	93.14814815
Palms4xDavies1	Palms4xDavies1	Palms4_mother	Davies1_father	58.33333333
Palms4xPalms2	Palms4xPalms2	Palms4_mother	Palms2_father	71.38888889
Palms5xPalms4	Palms5xPalms4	Palms5_mother	Palms4_father	63.51851852
Parke2xParke5	Parke2xParke5	Parke2_mother	Parke5_father	79.25925926
Parke4xDavies1	Parke4xDavies1	Parke4_mother	Davies1_father	85.18518519
Parke4xParke2	Parke4xParke2	Parke4_mother	Parke2_father	80.55555556
Parke5xDavies10	Parke5xDavies10	Parke5_mother	Davies10_father	81.55934343
Parke5xDavies6	Parke5xDavies6	Parke5_mother	Davies6_father	61.16402116
Parke5xParke4	Parke5xParke4	Parke5_mother	Parke4_father	87.5
Switzer2xDavies1	Switzer2xDavies1	Switzer2_mother	Davies1_father	89.28571429
Switzer2xDavies6	Switzer2xDavies6	Switzer2_mother	Davies6_father	70
Switzer4xDavies8	Switzer4xDavies8	Switzer4_mother	Davies8_father	68.46825397
Switzer4xSwitzer7	Switzer4xSwitzer7	Switzer4_mother	Switzer7_father	64.21428571
Switzer6xDavies1	Switzer6xDavies1	Switzer6_mother	Davies1_father	79.73985891
Switzer6xSwitzer4	Switzer6xSwitzer4	Switzer6_mother	Switzer4_father	68.0026455
Switzer7xDavies10	Switzer7xDavies10	Switzer7_mother	Davies10_father	75.89285714
Switzer7xSwitzer6	Switzer7xSwitzer6	Switzer7_mother	Switzer6_father	63.61111111
