id	mother	father
Davies1_mother	NA	NA
Davies13_mother	NA	NA
Davies6_mother	NA	NA
Davies8_mother	NA	NA
Jewell2_mother	NA	NA
Jewell3_mother	NA	NA
Jewell5_mother	NA	NA
Jewell6_mother	NA	NA
Jewell7_mother	NA	NA
Jewell8_mother	NA	NA
Palms2_mother	NA	NA
Palms4_mother	NA	NA
Palms5_mother	NA	NA
Parke2_mother	NA	NA
Parke4_mother	NA	NA
Parke5_mother	NA	NA
Switzer2_mother	NA	NA
Switzer4_mother	NA	NA
Switzer6_mother	NA	NA
Switzer7_mother	NA	NA
Davies1_father	NA	NA
Davies10_father	NA	NA
Davies13_father	NA	NA
Davies6_father	NA	NA
Davies8_father	NA	NA
Jewell2_father	NA	NA
Jewell3_father	NA	NA
Jewell8_father	NA	NA
Palms1_father	NA	NA
Palms2_father	NA	NA
Palms4_father	NA	NA
Palms5_father	NA	NA
Parke2_father	NA	NA
Parke4_father	NA	NA
Parke5_father	NA	NA
Switzer6_father	NA	NA
Switzer7_father	NA	NA
TF1	Jewell8_mother	Jewell2_father
TF10	Switzer7_mother	Switzer6_father
TF12	Switzer4_mother	Switzer7_father
TF13	Davies6_mother	Davies1_father
TF14	Davies8_mother	Davies6_father
TF15	Davies8_mother	Davies10_father
TF16	Davies1_mother	Davies8_father
TF18	Jewell8_mother	Davies6_father
TF19	Jewell8_mother	Davies10_father
TF21	Parke4_mother	Davies1_father
TF22	Parke5_mother	Davies6_father
TF23	Parke5_mother	Davies10_father
TF24	Parke2_mother	Davies8_father
TF25	Switzer2_mother	Davies10_father
TF26	Switzer2_mother	Davies1_father
TF29	Switzer6_mother	Davies1_father
TF31	Switzer4_mother	Davies8_father
TF32	Switzer7_mother	Davies10_father
TF33	Palms4_mother	Palms2_father
TF34	Palms5_mother	Palms4_father
TF35	Palms2_mother	Palms5_father
TF36	Palms4_mother	Davies1_father
TF37	Palms2_mother	Davies1_father
TF38	Jewell6_mother	Palms1_father
TF39	Jewell2_mother	Palms1_father
TF4	Jewell2_mother	Jewell8_father
TF40	Jewell3_mother	Palms1_father
TF41	Jewell5_mother	Palms1_father
TF42	Jewell8_mother	Palms1_father
TF43	Jewell6_mother	Palms4_father
TF44	Jewell2_mother	Palms4_father
TF47	Jewell8_mother	Palms4_father
TF49	Jewell2_mother	Palms5_father
TF5	Parke4_mother	Parke2_father
TF53	Jewell8_mother	Palms5_father
TF54	Jewell6_mother	Davies1_father
TF56	Jewell2_mother	Davies1_father
TF57	Jewell2_mother	Davies13_father
TF58	Jewell3_mother	Davies1_father
TF6	Parke5_mother	Parke4_father
TF62	Jewell7_mother	Davies1_father
TF64	Jewell8_mother	Davies1_father
TF65	Jewell8_mother	Davies13_father
TF66	Davies13_mother	Davies1_father
TF67	Jewell8_mother	Jewell2_father
TF68	Jewell8_mother	Jewell3_father
TF8	Parke2_mother	Parke5_father
