animal	culture	mother	father	survival
Davies1_mother	Davies1_mother	NA	NA	NA
Davies13_mother	Davies13_mother	NA	NA	NA
Davies6_mother	Davies6_mother	NA	NA	NA
Davies8_mother	Davies8_mother	NA	NA	NA
Jewell2_mother	Jewell2_mother	NA	NA	NA
Jewell3_mother	Jewell3_mother	NA	NA	NA
Jewell5_mother	Jewell5_mother	NA	NA	NA
Jewell6_mother	Jewell6_mother	NA	NA	NA
Jewell7_mother	Jewell7_mother	NA	NA	NA
Jewell8_mother	Jewell8_mother	NA	NA	NA
Palms2_mother	Palms2_mother	NA	NA	NA
Palms4_mother	Palms4_mother	NA	NA	NA
Palms5_mother	Palms5_mother	NA	NA	NA
Parke2_mother	Parke2_mother	NA	NA	NA
Parke4_mother	Parke4_mother	NA	NA	NA
Parke5_mother	Parke5_mother	NA	NA	NA
Switzer2_mother	Switzer2_mother	NA	NA	NA
Switzer4_mother	Switzer4_mother	NA	NA	NA
Switzer6_mother	Switzer6_mother	NA	NA	NA
Switzer7_mother	Switzer7_mother	NA	NA	NA
Davies1_father	Davies1_father	NA	NA	NA
Davies10_father	Davies10_father	NA	NA	NA
Davies13_father	Davies13_father	NA	NA	NA
Davies6_father	Davies6_father	NA	NA	NA
Davies8_father	Davies8_father	NA	NA	NA
Jewell2_father	Jewell2_father	NA	NA	NA
Jewell3_father	Jewell3_father	NA	NA	NA
Jewell8_father	Jewell8_father	NA	NA	NA
Palms1_father	Palms1_father	NA	NA	NA
Palms2_father	Palms2_father	NA	NA	NA
Palms4_father	Palms4_father	NA	NA	NA
Palms5_father	Palms5_father	NA	NA	NA
Parke2_father	Parke2_father	NA	NA	NA
Parke4_father	Parke4_father	NA	NA	NA
Parke5_father	Parke5_father	NA	NA	NA
Switzer6_father	Switzer6_father	NA	NA	NA
Switzer7_father	Switzer7_father	NA	NA	NA
TF1	Jewell8xJewell2	Jewell8_mother	Jewell2_father	53.33333333
TF10	Switzer7xSwitzer6	Switzer7_mother	Switzer6_father	6.666666667
TF12	Switzer4xSwitzer7	Switzer4_mother	Switzer7_father	1.666666667
TF13	Davies6xDavies1	Davies6_mother	Davies1_father	6.666666667
TF14	Davies8xDavies6	Davies8_mother	Davies6_father	28.33333333
TF15	Davies8xDavies10	Davies8_mother	Davies10_father	33.33333333
TF16	Davies1xDavies8	Davies1_mother	Davies8_father	33.33333333
TF18	Jewell8xDavies6	Jewell8_mother	Davies6_father	11.66666667
TF19	Jewell8xDavies10	Jewell8_mother	Davies10_father	46.66666667
TF21	Parke4xDavies1	Parke4_mother	Davies1_father	1.666666667
TF22	Parke5xDavies6	Parke5_mother	Davies6_father	1
TF23	Parke5xDavies10	Parke5_mother	Davies10_father	31.66666667
TF24	Parke2xDavies8	Parke2_mother	Davies8_father	36.66666667
TF25	Switzer2xDavies10	Switzer2_mother	Davies10_father	25
TF26	Switzer2xDavies1	Switzer2_mother	Davies1_father	18.33333333
TF29	Switzer6xDavies1	Switzer6_mother	Davies1_father	3.333333333
TF31	Switzer4xDavies8	Switzer4_mother	Davies8_father	13.33333333
TF32	Switzer7xDavies10	Switzer7_mother	Davies10_father	1.666666667
TF33	Palms4xPalms2	Palms4_mother	Palms2_father	6.666666667
TF34	Palms5xPalms4	Palms5_mother	Palms4_father	23.33333333
TF35	Palms2xPalms5	Palms2_mother	Palms5_father	1.666666667
TF36	Palms4xDavies1	Palms4_mother	Davies1_father	11.66666667
TF37	Palms2xDavies1	Palms2_mother	Davies1_father	6.666666667
TF38	Jewell6xPalms1	Jewell6_mother	Palms1_father	85
TF39	Jewell2xPalms1	Jewell2_mother	Palms1_father	23.33333333
TF4	Jewell2xJewell8	Jewell2_mother	Jewell8_father	11.66666667
TF40	Jewell3xPalms1	Jewell3_mother	Palms1_father	6.666666667
TF41	Jewell5xPalms1	Jewell5_mother	Palms1_father	20
TF42	Jewell8xPalms1	Jewell8_mother	Palms1_father	65
TF43	Jewell6xPalms4	Jewell6_mother	Palms4_father	71.66666667
TF44	Jewell2xPalms4	Jewell2_mother	Palms4_father	21.66666667
TF47	Jewell8xPalms4	Jewell8_mother	Palms4_father	41.66666667
TF49	Jewell2xPalms5	Jewell2_mother	Palms5_father	20
TF5	Parke4xParke2	Parke4_mother	Parke2_father	8.333333333
TF53	Jewell8xPalms5	Jewell8_mother	Palms5_father	28.33333333
TF54	Jewell6xDavies1	Jewell6_mother	Davies1_father	81.66666667
TF56	Jewell2xDavies1	Jewell2_mother	Davies1_father	20
TF57	Jewell2xDavies13	Jewell2_mother	Davies13_father	38.33333333
TF58	Jewell3xDavies1	Jewell3_mother	Davies1_father	21.26984127
TF6	Parke5xParke4	Parke5_mother	Parke4_father	3.333333333
TF62	Jewell7xDavies1	Jewell7_mother	Davies1_father	81.66666667
TF64	Jewell8xDavies1	Jewell8_mother	Davies1_father	35
TF65	Jewell8xDavies13	Jewell8_mother	Davies13_father	48.33333333
TF66	Davies13xDavies1	Davies13_mother	Davies1_father	45
TF67	Jewell8xJewell2	Jewell8_mother	Jewell2_father	55
TF68	Jewell8xJewell3	Jewell8_mother	Jewell3_father	50
TF8	Parke2xParke5	Parke2_mother	Parke5_father	32.93650794
