Family,Region,Survival
Dav1xDav8,Central,33.33333333
Dav6xDav1,Central,6.666666667
Dav8xDav6,Central,28.33333333
Jew2xJew8,North,11.66666667
Jew2xPal1,Hybrid,23.33333333
Jew3xPal1,Hybrid,6.666666667
Jew6xPal1,Hybrid,85
Jew8xDav1,Hybrid,35
Jew8xDav10,Hybrid,46.66666667
Jew8xDav13,Hybrid,48.33333333
Jew8xDav6,Hybrid,11.66666667
Jew8xJew2,North,53.33333333
Jew8xJew3,North,50
Jew8xPal1,Hybrid,65
Pal2xDav1,Central,6.666666667
Pal2xPal5,Central,1.666666667
Pal4xDav1,Central,11.66666667
Pal4xPal2,Central,6.666666667
Pal5xPal4,Central,23.33333333
Par2xPar5,North,32.93650794
Par4xPar2,North,8.333333333
Par5xDav6,Hybrid,0
Par5xPar4,North,3.333333333
Swi4xDav8,Hybrid,13.33333333
Swi4xSwi7,North,1.666666667
Swi6xDav1,Hybrid,3.333333333
Swi6xSwi4,North,1.666666667
Swi7xDav10,Hybrid,8.33
Swi7xSwi6,North,6.666666667
