no,id,pop,lifestage,species,reef,tank,Temp,symbiont,family_temp,family,indcross,reefcross,reefcross_timepoint,pure_hybrid
1,Mod1-JewBotxDav6Bul-Cn1-T0-rep1,JewxDav_T0,larvae,aten,NA,NA,T0,NA,Mod1_T0,Mod1,JewBotxDav6Bul,JewxDav,JewxDav_T0,hybrid_north_south
2,T.F39-Jew2xPal1-Cn30-T0-rep1,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F39_T0,T.F39,Jew2xPal1,JewxPal,JewxPal_T0,hybrid_north_south
3,T.F38-Jew6xPal1-Cn31-T0-rep3,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F38_T0,T.F38,Jew6xPal1,JewxPal,JewxPal_T0,hybrid_north_south
4,Mod2-Par6BulxPar6Bul-Cn3-T0-rep3,ParxPar_T0,larvae,aten,NA,NA,T0,NA,Mod2_T0,Mod2,Par6BulxPar6Bul,ParxPar,ParxPar_T0,pure_north
5,Mod3-Par6BulxDav6Bul-Cn5-T0-rep5,ParxDav_T0,larvae,aten,NA,NA,T0,NA,Mod3_T0,Mod3,Par6BulxDav6Bul,ParxDav,ParxDav_T0,hybrid_north_south
6,Mod5-Swi6BulxDav6Bul-Cn9-T0-rep1,SwixDav_T0,larvae,aten,NA,NA,T0,NA,Mod5_T0,Mod5,Swi6BulxDav6Bul,SwixDav,SwixDav_T0,hybrid_north_south
7,Mod6-MunPalBulxDav6Bul-Cn13-T0-rep3,PalxDav_T0,larvae,aten,NA,NA,T0,NA,Mod6_T0,Mod6,MunPalBulxDav6Bul,PalxDav,PalxDav_T0,hybrid_south
8,Mod1-JewBotxDav6Bul-Cn1-T0-rep2,JewxDav_T0,larvae,aten,NA,NA,T0,NA,Mod1_T0,Mod1,JewBotxDav6Bul,JewxDav,JewxDav_T0,hybrid_north_south
9,T.F39-Jew2xPal1-Cn30-T0-rep2,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F39_T0,T.F39,Jew2xPal1,JewxPal,JewxPal_T0,hybrid_north_south
10,T.F38-Jew6xPal1-Cn31-T0-rep4,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F38_T0,T.F38,Jew6xPal1,JewxPal,JewxPal_T0,hybrid_north_south
11,Mod2-Par6BulxPar6Bul-Cn3-T0-rep4,ParxPar_T0,larvae,aten,NA,NA,T0,NA,Mod2_T0,Mod2,Par6BulxPar6Bul,ParxPar,ParxPar_T0,pure_north
12,Mod3-Par6BulxDav6Bul-Cn5-T0-rep6,ParxDav_T0,larvae,aten,NA,NA,T0,NA,Mod3_T0,Mod3,Par6BulxDav6Bul,ParxDav,ParxDav_T0,hybrid_north_south
13,Mod5-Swi6BulxDav6Bul-Cn9-T0-rep2,SwixDav_T0,larvae,aten,NA,NA,T0,NA,Mod5_T0,Mod5,Swi6BulxDav6Bul,SwixDav,SwixDav_T0,hybrid_north_south
14,Mod6-MunPalBulxDav6Bul-Cn13-T0-rep4,PalxDav_T0,larvae,aten,NA,NA,T0,NA,Mod6_T0,Mod6,MunPalBulxDav6Bul,PalxDav,PalxDav_T0,hybrid_south
15,Mod1-JewBotxDav6Bul-Cn1-T0-rep3,JewxDav_T0,larvae,aten,NA,NA,T0,NA,Mod1_T0,Mod1,JewBotxDav6Bul,JewxDav,JewxDav_T0,hybrid_north_south
16,T.F39-Jew2xPal1-Cn30-T0-rep3,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F39_T0,T.F39,Jew2xPal1,JewxPal,JewxPal_T0,hybrid_north_south
17,T.F38-Jew6xPal1-Cn31-T0-rep5,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F38_T0,T.F38,Jew6xPal1,JewxPal,JewxPal_T0,hybrid_north_south
18,Mod2-Par6BulxPar6Bul-Cn3-T0-rep5,ParxPar_T0,larvae,aten,NA,NA,T0,NA,Mod2_T0,Mod2,Par6BulxPar6Bul,ParxPar,ParxPar_T0,pure_north
19,Mod4-Swi6BulxSwi6Bul-Cn7-T0-rep1,SwixSwi_T0,larvae,aten,NA,NA,T0,NA,Mod4_T0,Mod4,Swi6BulxSwi6Bul,SwixSwi,SwixSwi_T0,pure_north
20,Mod5-Swi6BulxDav6Bul-Cn9-T0-rep3,SwixDav_T0,larvae,aten,NA,NA,T0,NA,Mod5_T0,Mod5,Swi6BulxDav6Bul,SwixDav,SwixDav_T0,hybrid_north_south
21,Mod6-MunPalBulxDav6Bul-Cn13-T0-rep5,PalxDav_T0,larvae,aten,NA,NA,T0,NA,Mod6_T0,Mod6,MunPalBulxDav6Bul,PalxDav,PalxDav_T0,hybrid_south
22,Mod1-JewBotxDav6Bul-Cn1-T0-rep4,JewxDav_T0,larvae,aten,NA,NA,T0,NA,Mod1_T0,Mod1,JewBotxDav6Bul,JewxDav,JewxDav_T0,hybrid_north_south
23,T.F39-Jew2xPal1-Cn30-T0-rep4,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F39_T0,T.F39,Jew2xPal1,JewxPal,JewxPal_T0,hybrid_north_south
24,T.F38-Jew6xPal1-Cn31-T0-rep6,JewxPal_T0,larvae,aten,NA,NA,T0,NA,T.F38_T0,T.F38,Jew6xPal1,JewxPal,JewxPal_T0,hybrid_north_south
25,Mod2-Par6BulxPar6Bul-Cn3-T0-rep6,ParxPar_T0,larvae,aten,NA,NA,T0,NA,Mod2_T0,Mod2,Par6BulxPar6Bul,ParxPar,ParxPar_T0,pure_north
26,Mod4-Swi6BulxSwi6Bul-Cn7-T0-rep2,SwixSwi_T0,larvae,aten,NA,NA,T0,NA,Mod4_T0,Mod4,Swi6BulxSwi6Bul,SwixSwi,SwixSwi_T0,pure_north
27,Mod5-Swi6BulxDav6Bul-Cn9-T0-rep4,SwixDav_T0,larvae,aten,NA,NA,T0,NA,Mod5_T0,Mod5,Swi6BulxDav6Bul,SwixDav,SwixDav_T0,hybrid_north_south
