MCMC	Heritability
1	0.821839
2	0.951149
3	0.936782
4	0.905172
5	0.887931
6	0.962644
7	0.899425
8	0.965517
9	0.922414
10	0.936782
11	0.873563
12	0.873563
13	0.609195
14	0.951149
15	0.962644
16	0.896552
17	0.603448
18	0.971264
19	0.95977
20	0.951149
21	0.965517
22	0.977011
23	0.683908
24	0.850575
25	0.925287
26	0.813218
27	0.936782
28	0.95977
29	0.928161
30	0.971264
31	0.977011
32	0.95977
33	0.87069
34	0.83908
35	0.91954
36	0.945402
37	0.962644
38	0.893678
39	0.95977
40	0.95977
41	0.824713
42	0.951149
43	0.635057
44	0.95977
45	0.847701
46	0.948276
47	0.91954
48	0.977011
49	0.810345
50	0.87069
51	0.951149
52	1
53	0.916667
54	0.982759
55	0.781609
56	0.83908
57	0.896552
58	0.859195
59	0.908046
60	0.885057
61	0.75
62	0.890805
63	0.905172
64	0.813218
65	0.974138
66	0.836207
67	0.724138
68	0.951149
69	0.87069
70	0.818966
71	0.916667
72	0.931034
73	0.982759
74	0.942529
75	0.882184
76	0.770115
77	0.681034
78	0.942529
79	0.971264
80	0.787356
81	0.931034
82	0.87069
83	0.942529
84	0.91954
85	0.962644
86	0.893678
87	0.689655
88	0.956897
89	0.974138
90	0.635057
91	0.928161
92	0.833333
93	0.954023
94	0.95977
95	0.971264
96	0.994253
97	0.968391
98	1
99	0.988506
100	0.968391
101	0.971264
102	0.922414
103	0.965517
104	0.939655
105	0.977011
106	0.902299
107	0.942529
108	0.821839
109	0.954023
110	0.95977
111	0.922414
112	0.948276
113	0.939655
114	0.913793
115	0.971264
116	0.942529
117	0.928161
118	0.637931
119	0.936782
120	0.902299
121	0.977011
122	0.977011
123	0.936782
124	0.887931
125	0.882184
126	0.939655
127	1
128	0.899425
129	0.954023
130	0.977011
131	0.971264
132	0.913793
133	0.864943
134	0.933908
135	0.867816
136	0.678161
137	0.833333
138	0.752874
139	0.936782
140	0.859195
141	0.893678
142	0.971264
143	0.933908
144	0.91954
145	0.95977
146	0.896552
147	0.841954
148	0.902299
149	0.91092
150	0.968391
151	0.712644
152	0.729885
153	0.948276
154	0.795977
155	0.948276
156	0.913793
157	0.95977
158	0.91954
159	0.908046
160	0.741379
161	0.563218
162	0.925287
163	0.971264
164	0.948276
165	0.885057
166	0.965517
167	0.795977
168	0.965517
169	0.977011
170	0.985632
171	0.985632
172	0.945402
173	0.902299
174	0.956897
175	0.925287
176	0.882184
177	0.945402
178	0.942529
179	0.942529
180	0.962644
181	0.916667
182	0.706897
183	0.954023
184	0.91092
185	0.824713
186	0.942529
187	0.948276
188	0.95977
189	0.977011
190	0.867816
191	0.95977
192	0.761494
193	0.859195
194	0.91954
195	0.836207
196	0.801724
197	0.913793
198	0.942529
199	0.928161
200	0.951149
201	0.954023
202	0.807471
203	0.962644
204	0.945402
