ind.name	family	reef.cross	region.cross	mod.sing	temp	larv.surv	juv.surv	Ho	region.cross2
T.F16-Dav1xDav8-Cn82-T0-rep3	Dav1xDav8	DavxDav	Central	sing	Pre	33.33333333	86.87905844	0.05866585	Central
T.F16-Dav1xDav8-Cn82-T0-rep4	Dav1xDav8	DavxDav	Central	sing	Pre	33.33333333	86.87905844	0.059125373	Central
T.F16-Dav1xDav8-Cn82-T0-rep5	Dav1xDav8	DavxDav	Central	sing	Pre	33.33333333	86.87905844	0.058589262	Central
T.F16-Dav1xDav8-Cn82-T0-rep6	Dav1xDav8	DavxDav	Central	sing	Pre	33.33333333	86.87905844	0.071379337	Central
T.F16-Dav1xDav8-Cn82-T0-rep1	Dav1xDav8	DavxDav	Central	sing	Pre	33.33333333	86.87905844	0.062724975	Central
T.F16-Dav1xDav8-Cn82-T0-rep2	Dav1xDav8	DavxDav	Central	sing	Pre	33.33333333	86.87905844	0.057517041	Central
T.F16-Dav1xDav8-Bt33-T2-Hot-rep1	Dav1xDav8	DavxDav	Central	sing	Hot	33.33333333	86.87905844	0.083709887	Central
T.F16-Dav1xDav8-Bt33-T2-Hot-rep2	Dav1xDav8	DavxDav	Central	sing	Hot	33.33333333	86.87905844	0.076280922	Central
T.F16-Dav1xDav8-Bt33-T2-Hot-rep3	Dav1xDav8	DavxDav	Central	sing	Hot	33.33333333	86.87905844	0.075132113	Central
T.F16-Dav1xDav8-Bt35-T3-Amb-rep5	Dav1xDav8	DavxDav	Central	sing	Amb	33.33333333	86.87905844	0.059431722	Central
T.F16-Dav1xDav8-Bt33-T2-Hot-rep4	Dav1xDav8	DavxDav	Central	sing	Hot	33.33333333	86.87905844	0.057440453	Central
T.F16-Dav1xDav8-Bt35-T3-Amb-rep6	Dav1xDav8	DavxDav	Central	sing	Amb	33.33333333	86.87905844	0.048862679	Central
T.F16-Dav1xDav8-Bt33-T2-Hot-rep5	Dav1xDav8	DavxDav	Central	sing	Hot	33.33333333	86.87905844	0.101018611	Central
T.F16-Dav1xDav8-Bt33-T2-Hot-rep6	Dav1xDav8	DavxDav	Central	sing	Hot	33.33333333	86.87905844	0.062188864	Central
