Parent,Parent,Region,survival_deviance,se_deviance
Davies1,mom,Central,0.392156863,0.475190964
Davies12,mom,Central,0.68627451,0.135768847
Davies13,mom,Central,0.529411765,0.352737811
Davies6,mom,Central,0.078431373,0.179605302
Davies8,mom,Central,0.362745098,0.283719517
Jewell2,mom,North,0.264705882,0.197428819
Jewell3,mom,North,0.1643324,0.199994999
Jewell5,mom,North,0.235294118,0.423938088
Jewell6,mom,North,0.934640523,0.386400448
Jewell7,mom,North,0.960784314,0.555657953
Jewell8,mom,North,0.496732026,0.39086884
Palms2,mom,Central,0.049019608,0.123744863
Palms4,mom,Central,0.107843137,0.212183036
Palms5,mom,Central,0.274509804,0.067884423
Parke2,mom,North,0.409430439,0.597474832
Parke4,mom,North,0.058823529,0.101826635
Parke5,mom,North,0.137254902,0.17124444
Switzer1,mom,North,NA,NA
Switzer2,mom,North,0.254901961,0.092731847
Switzer4,mom,North,0.088235294,0.169711058
Switzer6,mom,North,0.039215686,0.067884423
Switzer7,mom,North,0.049019608,0.123744863
Davies10,mom,Central,NA,NA
Davies4,mom,Central,NA,NA
Palms1,mom,Central,NA,NA
SwitzerVoucher,mom,North,NA,NA
Davies1,dad,Central,0.354090354,0.214610945
Davies12,dad,Central,NA,NA
Davies13,dad,Central,0.509803922,0.274346837
Davies6,dad,Central,0.156862745,0.172099488
Davies8,dad,Central,0.326797386,0.582242886
Jewell2,dad,North,0.62745098,0.125172692
Jewell3,dad,North,0.588235294,0.538815906
Jewell5,dad,North,NA,NA
Jewell6,dad,North,NA,NA
Jewell7,dad,North,NA,NA
Jewell8,dad,North,0.137254902,0.295901341
Palms2,dad,Central,0.078431373,0.179605302
Palms4,dad,Central,0.465686275,0.351721837
Palms5,dad,Central,0.196078431,0.113140706
Parke2,dad,North,0.098039216,0.135768847
Parke4,dad,North,0.039215686,0.135768847
Parke5,dad,North,0.387488329,0.194949663
Switzer1,dad,North,NA,NA
Switzer2,dad,North,NA,NA
Switzer4,dad,North,NA,NA
Switzer6,dad,North,0.078431373,0.179605302
Switzer7,dad,North,0.019607843,0.067884423
Davies10,dad,Central,0.325490196,0.341983779
Davies4,dad,Central,NA,NA
Palms1,dad,Central,0.470588235,0.306578896
SwitzerVoucher,dad,North,NA,NA
Davies1,combined,Central,0.373123608,0.344900954
Davies12,combined,Central,0.68627451,0.135768847
Davies13,combined,Central,0.519607843,0.313542324
Davies6,combined,Central,0.117647059,0.175852395
Davies8,combined,Central,0.344771242,0.432981201
Jewell2,combined,North,0.446078431,0.161300756
Jewell3,combined,North,0.376283847,0.369405453
Jewell5,combined,North,0.235294118,0.423938088
Jewell6,combined,North,0.934640523,0.386400448
Jewell7,combined,North,0.960784314,0.555657953
Jewell8,combined,North,0.316993464,0.34338509
Palms2,combined,Central,0.06372549,0.151675082
Palms4,combined,Central,0.286764706,0.281952436
Palms5,combined,Central,0.235294118,0.090512564
Parke2,combined,North,0.253734827,0.366621839
Parke4,combined,North,0.049019608,0.118797741
Parke5,combined,North,0.262371615,0.183097051
Switzer1,combined,North,NA,NA
Switzer2,combined,North,0.254901961,0.092731847
Switzer4,combined,North,0.088235294,0.169711058
Switzer6,combined,North,0.058823529,0.123744863
Switzer7,combined,North,0.034313725,0.095814643
Davies10,combined,Central,0.325490196,0.341983779
Davies4,combined,Central,NA,NA
Palms1,combined,Central,0.470588235,0.306578896
SwitzerVoucher,combined,North,NA,NA
