"","gene","r"
"1","aten_0.1.m1.7531.m1",0.727723768
"2","aten_0.1.m1.5246.m1",-0.652515514
"3","aten_0.1.m1.3520.m1",-0.76044019
"4","aten_0.1.m1.8050.m1",0.692310213
"5","aten_0.1.m1.5245.m1",-0.652515514
"6","aten_0.1.m1.7527.m1",0.727723768
"7","aten_0.1.m1.13322.m1",0.698392418
"8","aten_0.1.m1.35851.m1",-0.697565144
"9","aten_0.1.m1.29698.m1",-0.724050754
"10","aten_0.1.m1.1388.m1",0.686226333
"11","aten_0.1.m1.23606.m1",0.688850315
"12","aten_0.1.m1.5243.m1",-0.652515514
"13","aten_0.1.m1.8705.m1",0.802187151
"14","aten_0.1.m1.1389.m1",0.686226333
"15","aten_0.1.m1.8720.m1",0.802187151
"16","aten_0.1.m1.17435.m1",0.680713566
"17","aten_0.1.m1.9508.m1",-0.664843706
"18","aten_0.1.m1.28820.m1",0.698270836
"19","aten_0.1.m1.4493.m1",-0.717309417
"20","aten_0.1.m1.36400.m1",-0.655000521
"21","aten_0.1.m1.34663.m1",-0.669125849
"22","aten_0.1.m1.3523.m1",-0.76044019
"23","aten_0.1.m1.7281.m1",0.689992968
"24","aten_0.1.m1.6516.m1",-0.742308476
"25","aten_0.1.m1.6343.m1",-0.649937385
"26","aten_0.1.m1.25349.m1",0.658804688
"27","aten_0.1.m1.18456.m1",-0.664571462
"28","aten_0.1.m1.3705.m1",-0.669645234
"29","aten_0.1.m1.17434.m1",0.680713566
"30","aten_0.1.m1.7279.m1",0.689992968
"31","aten_0.1.m1.23610.m1",0.688850315
