name	term	lev	seq	value
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.2990.m1	0
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.4305.m1	0
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.2095.m1	3
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.9863.m1	0
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.2380.m1	0
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.9419.m1	-6
"mitochondrial membrane"	GO:0031966	4	aten_0.1.m1.33136.m1	0
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.10175.m1	-2
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.25865.m1	7
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.21124.m1	0
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.17402.m1	0
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.13104.m1	-5
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.28273.m1	-6
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.19538.m1	0
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.20362.m1	5
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.14936.m1	3
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.13216.m1	-24
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.28594.m1	6
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.5046.m1	0
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.25033.m1	0
"endoplasmic reticulum membrane"	GO:0005789	4	aten_0.1.m1.451.m1	7
"podosome"	GO:0002102	5	aten_0.1.m1.21013.m1	0
"podosome"	GO:0002102	5	aten_0.1.m1.232.m1	0
"podosome"	GO:0002102	5	aten_0.1.m1.32267.m1	-3
"podosome"	GO:0002102	5	aten_0.1.m1.16184.m1	0
"lytic vacuole membrane"	GO:0005765;GO:0098852	3	aten_0.1.m1.12121.m1	4
