"","pval","direction","color"
"1/2 cytidylyltransferase activity",0.0103193401609328,1,"firebrick1"
"1/2 amidine-lyase activity",0.0103193401609328,1,"firebrick1"
"1/3 death receptor activity",0.0706388212222697,0,"skyblue2"
"1/2 ubiquitin-like modifier activating enzyme activity",0.0103193401609328,0,"dodgerblue2"
"1/3 ribulose-phosphate 3-epimerase activity",0.0744754477015096,0,"skyblue2"
"1/3 mannosyl-oligosaccharide glucosidase activity",0.0755894260035902,0,"skyblue2"
"1/2 beta-N-acetylhexosaminidase activity",0.0103193401609328,1,"firebrick1"
"2/9 mannosidase activity",0.0154269436164149,0,"dodgerblue2"
"2/4 mannosyl-oligosaccharide mannosidase activity",1.79881509985387e-05,0,"dodgerblue2"
"0/3 phenylalanine 4-monooxygenase activity",0.0803470314333908,1,"lightcoral"
"1/3 exopolyphosphatase activity",0.0706388212222697,0,"skyblue2"
"0/2 alditol:NADP+ 1-oxidoreductase activity",0.0103193401609328,0,"dodgerblue2"
"2/6 glucosyltransferase activity",0.00191660116978065,1,"firebrick1"
"2/2 UDP-glucose:glycoprotein glucosyltransferase activity",2.38209857227255e-11,1,"firebrick1"
"2/4 UDP-glucosyltransferase activity",1.79881509985387e-05,1,"firebrick1"
"4/37 tRNA binding",0.0247942583768906,1,"firebrick1"
"1/2 phosphoethanolamine N-methyltransferase activity",0.0103193401609328,0,"dodgerblue2"
