name	term	lev	seq	value
"lyase activity"	GO:0016829	2	aten_0.1.m1.4392.m1	-0.000524544
"lyase activity"	GO:0016829	2	aten_0.1.m1.27231.m1	0
"lyase activity"	GO:0016829	2	aten_0.1.m1.32232.m1	-0.068335004
"lyase activity"	GO:0016829	2	aten_0.1.m1.18878.m1	0
"lyase activity"	GO:0016829	2	aten_0.1.m1.32384.m1	0
"lyase activity"	GO:0016829	2	aten_0.1.m1.18877.m1	0
"lyase activity"	GO:0016829	2	aten_0.1.m1.20866.m1	0.079713588
"lyase activity"	GO:0016829	2	aten_0.1.m1.4856.m1	0
"GTPase regulator activity"	GO:0030695;GO:0060589	4	aten_0.1.m1.6159.m1	0
"GTPase regulator activity"	GO:0030695;GO:0060589	4	aten_0.1.m1.15800.m1	5.55E-17
"GTPase regulator activity"	GO:0030695;GO:0060589	4	aten_0.1.m1.9161.m1	0
"GTPase regulator activity"	GO:0030695;GO:0060589	4	aten_0.1.m1.24298.m1	0
"GTPase regulator activity"	GO:0030695;GO:0060589	4	aten_0.1.m1.4543.m1	0
"GTPase regulator activity"	GO:0030695;GO:0060589	4	aten_0.1.m1.5799.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.1789.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.10100.m1	0.048805792
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.24349.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.1674.m1	-0.024827103
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.9224.m1	0.045278678
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.21246.m1	0.150872919
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.22508.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.26537.m1	0.320642426
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.13368.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.11169.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.34856.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.19011.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.15280.m1	-0.021247911
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.6157.m1	0
"transporter activity"	GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803	1	aten_0.1.m1.1675.m1	-0.024827103
"phosphoric ester hydrolase activity"	GO:0042578	4	aten_0.1.m1.7828.m1	0
"phosphoric ester hydrolase activity"	GO:0042578	4	aten_0.1.m1.5645.m1	0
"phosphoric ester hydrolase activity"	GO:0042578	4	aten_0.1.m1.12764.m1	0.005437712
"phosphoric ester hydrolase activity"	GO:0042578	4	aten_0.1.m1.13999.m1	0
"phosphoric ester hydrolase activity"	GO:0042578	4	aten_0.1.m1.21070.m1	0.037870814
"guanyl-nucleotide exchange factor activity"	GO:0005085	5	aten_0.1.m1.6159.m1	0
"guanyl-nucleotide exchange factor activity"	GO:0005085	5	aten_0.1.m1.15800.m1	5.55E-17
"guanyl-nucleotide exchange factor activity"	GO:0005085	5	aten_0.1.m1.9161.m1	0
"guanyl-nucleotide exchange factor activity"	GO:0005085	5	aten_0.1.m1.24298.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.24974.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.36640.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.5028.m1	0.244284963
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.19373.m1	0.755728152
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.22581.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.3472.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.30321.m1	-0.288657483
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.2255.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.22585.m1	0
"calcium ion binding"	GO:0005509	4	aten_0.1.m1.13252.m1	0
"GABA receptor activity"	GO:0016917	2	aten_0.1.m1.30060.m1	0.002886451
"GABA receptor activity"	GO:0016917	2	aten_0.1.m1.10260.m1	0
"double-stranded DNA binding"	GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565	5	aten_0.1.m1.10101.m1	0.048805792
"double-stranded DNA binding"	GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565	5	aten_0.1.m1.22545.m1	0
"double-stranded DNA binding"	GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565	5	aten_0.1.m1.22467.m1	0
"double-stranded DNA binding"	GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565	5	aten_0.1.m1.1003.m1	0
"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	GO:0000978;GO:0000987	5	aten_0.1.m1.10101.m1	0.048805792
"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	GO:0000978;GO:0000987	5	aten_0.1.m1.22545.m1	0
"3',5'-cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112;GO:0008081	7	aten_0.1.m1.7828.m1	0
"3',5'-cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112;GO:0008081	7	aten_0.1.m1.13999.m1	0
"carboxy-lyase activity"	GO:0016831	2	aten_0.1.m1.32384.m1	0
"carboxy-lyase activity"	GO:0016831	2	aten_0.1.m1.20866.m1	0.079713588
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	aten_0.1.m1.2830.m1	-0.050439911
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	aten_0.1.m1.18761.m1	0.030771677
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	aten_0.1.m1.1231.m1	0.049995696
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.22547.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.29917.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.32962.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.7269.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.27545.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.28894.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.4312.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.2171.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.24256.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.4195.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.30203.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.37543.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.22874.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.2169.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.20666.m1	0.07155023
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.12001.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.22484.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.36636.m1	0
"nucleoside phosphate binding"	GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367	5	aten_0.1.m1.13285.m1	0.066385928
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	4	aten_0.1.m1.8151.m1	0
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	4	aten_0.1.m1.1268.m1	0
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	4	aten_0.1.m1.35526.m1	0
"ErbB-2 class receptor binding"	GO:0005176	2	aten_0.1.m1.36629.m1	0
"ErbB-2 class receptor binding"	GO:0005176	2	aten_0.1.m1.5912.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.29654.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.24974.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.16220.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.26093.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.29522.m1	0.173083904
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.24046.m1	0.032269261
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.36640.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.5028.m1	0.244284963
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.30349.m1	0.392059194
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.16196.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.7909.m1	0.24260453
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.36337.m1	0.100615815
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.21000.m1	0.40659765
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.19373.m1	0.755728152
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.22581.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.3472.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.21309.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.3732.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.36338.m1	0.100615815
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.7200.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.30321.m1	-0.288657483
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.16223.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.7119.m1	0.425786892
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.2255.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.16215.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.28953.m1	0.461171372
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.22585.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.24774.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.3641.m1	0.114978923
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.13929.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.27989.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.30847.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.4855.m1	0
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.18366.m1	2.083206992
"metal ion binding"	GO:0046872;GO:0043169	3	aten_0.1.m1.13252.m1	0
"transferase activity, transferring pentosyl groups"	GO:0003950;GO:0016763	4	aten_0.1.m1.9137.m1	0
