name	term	lev	seq	value
"phospholipase A2 activity"	GO:0004623	2	aten_0.1.m1.29814.m1	-7
"phospholipase A2 activity"	GO:0004623	2	aten_0.1.m1.11710.m1	0
"ribonucleoside-diphosphate reductase activity"	GO:0004748;GO:0061731;GO:0016728	5	aten_0.1.m1.28677.m1	0
"ribonucleoside-diphosphate reductase activity"	GO:0004748;GO:0061731;GO:0016728	5	aten_0.1.m1.8147.m1	-3
"ribonucleoside-diphosphate reductase activity"	GO:0004748;GO:0061731;GO:0016728	5	aten_0.1.m1.24323.m1	0
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.20688.m1	0
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.27864.m1	-25
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.7250.m1	3
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.4596.m1	0
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.20035.m1	-5
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.11302.m1	18
"calmodulin binding"	GO:0005516	2	aten_0.1.m1.4617.m1	0
"nucleotide-sugar transmembrane transporter activity"	GO:0005338	6	aten_0.1.m1.10307.m1	5
"nucleotide-sugar transmembrane transporter activity"	GO:0005338	6	aten_0.1.m1.15319.m1	4
"nucleotide-sugar transmembrane transporter activity"	GO:0005338	6	aten_0.1.m1.1859.m1	8
"iron ion binding"	GO:0005506	3	aten_0.1.m1.234.m1	0
"iron ion binding"	GO:0005506	3	aten_0.1.m1.29821.m1	-18
"iron ion binding"	GO:0005506	3	aten_0.1.m1.14582.m1	-11
"iron ion binding"	GO:0005506	3	aten_0.1.m1.16189.m1	0
"iron ion binding"	GO:0005506	3	aten_0.1.m1.19879.m1	0
"iron ion binding"	GO:0005506	3	aten_0.1.m1.19877.m1	13
"iron ion binding"	GO:0005506	3	aten_0.1.m1.9978.m1	-5
"iron ion binding"	GO:0005506	3	aten_0.1.m1.11194.m1	3
"iron ion binding"	GO:0005506	3	aten_0.1.m1.28071.m1	0
"iron ion binding"	GO:0005506	3	aten_0.1.m1.28771.m1	0
"nicotinate-nucleotide diphosphorylase (carboxylating) activity"	GO:0004514	2	aten_0.1.m1.4854.m1	4
"nicotinate-nucleotide diphosphorylase (carboxylating) activity"	GO:0004514	2	aten_0.1.m1.10959.m1	-5
"netrin receptor activity"	GO:0005042	2	aten_0.1.m1.23503.m1	0
"netrin receptor activity"	GO:0005042	2	aten_0.1.m1.27866.m1	-4
"netrin receptor activity"	GO:0005042	2	aten_0.1.m1.27886.m1	-1
"RNA polymerase II transcription factor binding"	GO:0001085	2	aten_0.1.m1.3796.m1	-14
"RNA polymerase II transcription factor binding"	GO:0001085	2	aten_0.1.m1.24735.m1	-1
"inward rectifier potassium channel activity"	GO:0005242	4	aten_0.1.m1.6454.m1	-13
"inward rectifier potassium channel activity"	GO:0005242	4	aten_0.1.m1.22182.m1	7
"cytochrome-c oxidase activity"	GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675	3	aten_0.1.m1.30556.m1	2
"cytochrome-c oxidase activity"	GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675	3	aten_0.1.m1.1470.m1	1
"cytochrome-c oxidase activity"	GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675	3	aten_0.1.m1.32156.m1	12
"rDNA binding"	GO:0000182	2	aten_0.1.m1.11598.m1	7
"rDNA binding"	GO:0000182	2	aten_0.1.m1.27050.m1	-13
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.7817.m1	0
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.15379.m1	0
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.357.m1	0
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.12203.m1	0
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.3281.m1	0
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.6082.m1	-3
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.1462.m1	0
"mannosyltransferase activity"	GO:0000030	2	aten_0.1.m1.29855.m1	-15
"protein phosphorylated amino acid binding"	GO:0001784;GO:0045309;GO:0051219	4	aten_0.1.m1.22772.m1	15
"protein phosphorylated amino acid binding"	GO:0001784;GO:0045309;GO:0051219	4	aten_0.1.m1.1537.m1	-21
"NAD+ kinase activity"	GO:0003951	5	aten_0.1.m1.12832.m1	0
"NAD+ kinase activity"	GO:0003951	5	aten_0.1.m1.2463.m1	-4
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.6088.m1	-9
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.16294.m1	7
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.3345.m1	0
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.15663.m1	-5
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.4241.m1	0
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.15067.m1	-7
"G protein-coupled adenosine receptor activity"	GO:0001609	3	aten_0.1.m1.1270.m1	0
"transcription corepressor activity"	GO:0003714	3	aten_0.1.m1.28300.m1	-9
"transcription corepressor activity"	GO:0003714	3	aten_0.1.m1.9406.m1	0
"four-way junction DNA binding"	GO:0000400	4	aten_0.1.m1.4545.m1	0
"four-way junction DNA binding"	GO:0000400	4	aten_0.1.m1.15037.m1	0
"catalase activity"	GO:0004096	3	aten_0.1.m1.3937.m1	0
"catalase activity"	GO:0004096	3	aten_0.1.m1.3940.m1	-9
"catalase activity"	GO:0004096	3	aten_0.1.m1.8723.m1	-10
"catalase activity"	GO:0004096	3	aten_0.1.m1.8718.m1	0
"catalase activity"	GO:0004096	3	aten_0.1.m1.23489.m1	12
"catalase activity"	GO:0004096	3	aten_0.1.m1.28654.m1	9
"catalase activity"	GO:0004096	3	aten_0.1.m1.6434.m1	0
"catalase activity"	GO:0004096	3	aten_0.1.m1.11168.m1	0
"catalase activity"	GO:0004096	3	aten_0.1.m1.5919.m1	-11
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"	GO:0016811	2	aten_0.1.m1.18761.m1	3
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"	GO:0016811	2	aten_0.1.m1.26506.m1	2
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"	GO:0016811	2	aten_0.1.m1.2065.m1	3
"catalytic activity, acting on a tRNA"	GO:0140101	3	aten_0.1.m1.10.m1	-15
"catalytic activity, acting on a tRNA"	GO:0140101	3	aten_0.1.m1.28618.m1	0
"catalytic activity, acting on a tRNA"	GO:0140101	3	aten_0.1.m1.28617.m1	0
"catalytic activity, acting on a tRNA"	GO:0140101	3	aten_0.1.m1.19814.m1	0
"catalytic activity, acting on a tRNA"	GO:0140101	3	aten_0.1.m1.11723.m1	0
"catalytic activity, acting on a tRNA"	GO:0140101	3	aten_0.1.m1.11975.m1	0
"intracellular ligand-gated ion channel activity"	GO:0005217	2	aten_0.1.m1.21648.m1	0
"intracellular ligand-gated ion channel activity"	GO:0005217	2	aten_0.1.m1.6387.m1	0
"intracellular ligand-gated ion channel activity"	GO:0005217	2	aten_0.1.m1.24204.m1	0
"adenylate cyclase inhibiting G protein-coupled glutamate receptor activity"	GO:0001640;GO:0098988	2	aten_0.1.m1.1811.m1	0
"adenylate cyclase inhibiting G protein-coupled glutamate receptor activity"	GO:0001640;GO:0098988	2	aten_0.1.m1.8332.m1	0
"adenylate cyclase inhibiting G protein-coupled glutamate receptor activity"	GO:0001640;GO:0098988	2	aten_0.1.m1.8309.m1	4
"adenylate cyclase inhibiting G protein-coupled glutamate receptor activity"	GO:0001640;GO:0098988	2	aten_0.1.m1.11104.m1	-1
"adenylate cyclase inhibiting G protein-coupled glutamate receptor activity"	GO:0001640;GO:0098988	2	aten_0.1.m1.25775.m1	-1
"phosphoric diester hydrolase activity"	GO:0008081	2	aten_0.1.m1.7828.m1	9
"phosphoric diester hydrolase activity"	GO:0008081	2	aten_0.1.m1.13999.m1	-4
"phosphoric diester hydrolase activity"	GO:0008081	2	aten_0.1.m1.10772.m1	-2
"ligand-gated sodium channel activity"	GO:0015280	3	aten_0.1.m1.19748.m1	-4
"ligand-gated sodium channel activity"	GO:0015280	3	aten_0.1.m1.15514.m1	1
"ligand-gated sodium channel activity"	GO:0015280	3	aten_0.1.m1.19742.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.14543.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.3937.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.3940.m1	-9
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.7478.m1	1
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.7059.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.28035.m1	-21
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.8723.m1	-10
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.3096.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.20699.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.32172.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.2874.m1	9
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.8718.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.5642.m1	-3
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.23489.m1	12
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.28036.m1	12
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.15565.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.7112.m1	19
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.28654.m1	9
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.32170.m1	2
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.6434.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.27983.m1	-12
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.3043.m1	26
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.11168.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.13071.m1	10
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.28020.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.5919.m1	-11
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.16280.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.7139.m1	11
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.1058.m1	5
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.1059.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.18047.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.14728.m1	4
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.15.m1	14
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.13167.m1	10
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.2015.m1	7
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.3228.m1	7
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.22763.m1	-2
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.3173.m1	-1
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.1784.m1	5
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.1137.m1	12
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	aten_0.1.m1.22938.m1	3
"transmembrane receptor protein tyrosine phosphatase activity"	GO:0005001;GO:0019198	5	aten_0.1.m1.6491.m1	0
"transmembrane receptor protein tyrosine phosphatase activity"	GO:0005001;GO:0019198	5	aten_0.1.m1.5645.m1	23
