"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-28 0.908942698847722 2 2 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.964592251838399
127 0.329196547693376 4 7 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.854418965784082
211 0.386188495644326 5 2 "GO:0000124;GO:0070461" "SAGA complex" 0.891038881633962
42 0.229421323313364 2 107 "GO:0000139" "Golgi membrane" 0.854418965784082
-84 0.55126804071124 3 6 "GO:0000145;GO:0099023" "exocyst" 0.891038881633962
-94 0.327481991138805 2 13 "GO:0000151" "ubiquitin ligase complex" 0.854418965784082
378 0.119737828914416 3 2 "GO:0000176" "nuclear exosome (RNase complex)" 0.663729188569742
366 0.0654224230801185 2 3 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.602290867698338
44 0.598446897518895 2 17 "GO:0000228;GO:0005694" "chromosome" 0.891038881633962
-413 0.0162764339829174 2 4 "GO:0000242" "pericentriolar material" 0.530937966874642
7 0.953462558548396 4 8 "GO:0000323;GO:0005773" "vacuole" 0.986950521522914
-85 0.620518868439802 2 4 "GO:0000324;GO:0000322" "fungal-type vacuole" 0.891038881633962
124 0.610024503560592 3 2 "GO:0000347" "THO complex" 0.891038881633962
-238 0.328667696816554 6 2 "GO:0000421" "autophagosome membrane" 0.854418965784082
-83 0.591732059302553 3 5 "GO:0000502;GO:1905369" "proteasome complex" 0.891038881633962
-26 0.733119186542298 2 21 "GO:0000775;GO:0098687" "chromosomal region" 0.927886377488856
35 0.682890502429846 2 16 "GO:0000776" "kinetochore" 0.906225617645042
4 0.974741201746888 2 9 "GO:0000777" "condensed chromosome kinetochore" 0.986950521522914
135 0.240415846130143 2 9 "GO:0000785" "chromatin" 0.854418965784082
-201 0.241864827489621 3 4 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 0.854418965784082
145 0.145298017044983 2 12 "GO:0000794;GO:0000793" "condensed chromosome" 0.719571132032297
-85 0.0136044255376701 2 108 "GO:0000922" "spindle pole" 0.530937966874642
129 0.288549008146252 4 8 "GO:0000932;GO:0036464;GO:0035770" "P-body" 0.854418965784082
-202 0.309693516444362 2 3 "GO:0000943" "retrotransposon nucleocapsid" 0.854418965784082
-133 0.439561589245252 3 4 "GO:0001518;GO:0034706" "sodium channel complex" 0.891038881633962
-76 0.488600475482673 2 10 "GO:0001527;GO:0099512;GO:0099081" "supramolecular fiber" 0.891038881633962
39 0.782179774123474 2 6 "GO:0001650" "fibrillar center" 0.927886377488856
-69 0.688382921095753 3 4 "GO:0001669;GO:0030141;GO:0099503" "acrosomal vesicle" 0.906225617645042
148 0.336838246126417 3 5 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "contractile actin filament bundle" 0.854418965784082
3 0.977460612662117 4 9 "GO:0001726" "ruffle" 0.986950521522914
