"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-161 0.00738322495264379 2 2 "GO:0000030" "mannosyltransferase activity" 0.36916124763219
50 0.192314274348737 3 5 "GO:0000049" "tRNA binding" 0.801309476453071
-108 0.027737670039104 2 3 "GO:0000149" "SNARE binding" 0.526995089874524
56 0.0043213352543638 2 20 "GO:0000287" "magnesium ion binding" 0.36916124763219
59 0.332226408693399 2 2 "GO:0000405;GO:0000217" "bubble DNA binding" 0.812684357622337
-2 0.973988160923218 5 4 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "double-stranded DNA binding" 0.978720168120146
34 0.578299249800136 5 2 "GO:0000978;GO:0000987" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.826141785428766
-43 0.0964765481641099 2 11 "GO:0000981;GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.687329655698053
38 0.527974277791723 3 2 "GO:0001530;GO:0008289" "lipopolysaccharide binding" 0.812684357622337
-31 0.527211662195281 2 3 "GO:0001594" "trace-amine receptor activity" 0.812684357622337
20 0.152365082582318 3 42 "GO:0003676" "nucleic acid binding" 0.692568557192355
-15 0.441433116044608 4 19 "GO:0003677" "DNA binding" 0.812684357622337
-95 0.11414281612116 2 2 "GO:0003682" "chromatin binding" 0.687329655698053
44 0.0344556631843097 2 18 "GO:0003723" "RNA binding" 0.526995089874524
5 0.926477981262994 2 3 "GO:0003735" "structural constituent of ribosome" 0.94915736676227
-37 0.544498519606966 2 2 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.812684357622337
-37 0.544498519606966 4 2 "GO:0003774" "motor activity" 0.812684357622337
-7 0.868158393235916 3 4 "GO:0003779;GO:0008092" "actin binding" 0.93350364864077
-8 0.400231402292682 1 121 "GO:0003824" "catalytic activity" 0.812684357622337
-37 0.544498519606966 4 2 "GO:0003924" "GTPase activity" 0.812684357622337
-37 0.388358742598935 4 4 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.812684357622337
145 0.0164389757629608 3 2 "GO:0003980;GO:0035251;GO:0008194;GO:0046527" "UDP-glycosyltransferase activity" 0.526995089874524
134 0.0264660959660644 3 2 "GO:0004017;GO:0050145;GO:0016776;GO:0019205" "nucleoside monophosphate kinase activity" 0.526995089874524
-37 0.544498519606966 7 2 "GO:0004114;GO:0004112;GO:0008081" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.812684357622337
37 0.541726729551149 5 2 "GO:0004177" "aminopeptidase activity" 0.812684357622337
-67 0.11894974601934 4 4 "GO:0004222;GO:0008237" "metallopeptidase activity" 0.687329655698053
17 0.532394545114589 5 10 "GO:0004252;GO:0008236;GO:0017171" "serine-type endopeptidase activity" 0.812684357622337
-4 0.909096001849715 2 5 "GO:0004497;GO:0016705" "monooxygenase activity" 0.946975001926787
71 0.0421596071899619 4 6 "GO:0004518" "nuclease activity" 0.526995089874524
88 0.0391012220733141 3 4 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.526995089874524
52 0.391559193582242 5 2 "GO:0004571;GO:0015924;GO:0004559;GO:0015923" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.812684357622337
-23 0.443971960755438 2 8 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.812684357622337
-26 0.152149633565543 2 24 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.692568557192355
-48 0.0630111256946572 3 11 "GO:0004674" "protein serine/threonine kinase activity" 0.630111256946572
-54 0.0779043570580524 3 8 "GO:0004713" "protein tyrosine kinase activity" 0.687329655698053
-37 0.456240807920978 4 3 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.812684357622337
-37 0.544498519606966 2 2 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.812684357622337
29 0.630772325506464 5 2 "GO:0004725;GO:0004721" "protein tyrosine phosphatase activity" 0.841438401797537
-37 0.544498519606966 5 2 "GO:0004793;GO:0016832" "threonine aldolase activity" 0.812684357622337
27 0.434389376246268 3 6 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.812684357622337
24 0.48748953034736 2 6 "GO:0004857" "enzyme inhibitor activity" 0.812684357622337
31 0.607198919146513 4 2 "GO:0004864;GO:0019212;GO:0019888;GO:0019208" "protein phosphatase regulator activity" 0.841438401797537
21 0.631078801348153 3 4 "GO:0004866;GO:0030414;GO:0061135;GO:0061134" "endopeptidase inhibitor activity" 0.841438401797537
18 0.773052777830622 2 2 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.901024579488577
-5 0.734375540271651 2 39 "GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.901024579488577
3 0.853744792638958 3 29 "GO:0004930" "G protein-coupled receptor activity" 0.927983470259737
-37 0.456240807920978 3 3 "GO:0005042" "netrin receptor activity" 0.812684357622337
50 0.314996182535059 2 3 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.812684357622337
-11 0.803362909049309 5 4 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.901024579488577
-37 0.544498519606966 2 2 "GO:0005096;GO:0008047" "GTPase activator activity" 0.812684357622337
-15 0.564383301997799 2 11 "GO:0005102" "signaling receptor binding" 0.826141785428766
-37 0.544498519606966 3 2 "GO:0005109;GO:0001664" "frizzled binding" 0.812684357622337
-37 0.544498519606966 2 2 "GO:0005176" "ErbB-2 class receptor binding" 0.812684357622337
-65 0.13059263458263 2 4 "GO:0005178;GO:0044877;GO:0050839" "integrin binding" 0.687329655698053
19 0.331241212919956 1 20 "GO:0005198" "structural molecule activity" 0.812684357622337
10 0.653505794470818 2 14 "GO:0005201" "extracellular matrix structural constituent" 0.848708823988075
-18 0.421790058038359 1 15 "GO:0005215;GO:0005216;GO:0015075;GO:0015267;GO:0015318;GO:0022857;GO:0022803" "transporter activity" 0.812684357622337
32 0.598461426928729 6 2 "GO:0005229;GO:0022839;GO:0061778" "intracellular calcium activated chloride channel activity" 0.841438401797537
-12 0.810922121539719 3 3 "GO:0005244;GO:0022832" "voltage-gated channel activity" 0.901024579488577
-93 0.122006254180548 4 2 "GO:0005245;GO:0022843" "voltage-gated calcium channel activity" 0.687329655698053
72 0.145413184550688 4 3 "GO:0005254;GO:0005253;GO:0015108;GO:0015103;GO:0008509" "chloride transmembrane transporter activity" 0.692568557192355
