"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-4 0.990192290056961 4 4 "GO:0000014;GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.997887460183374
-188 0.369538527257823 2 8 "GO:0000030" "mannosyltransferase activity" 0.974549712503681
324 0.179338407937174 2 6 "GO:0000048;GO:0016755" "transferase activity, transferring amino-acyl groups" 0.951405452276872
80 0.568823098338473 2 18 "GO:0000049" "tRNA binding" 0.974549712503681
438 0.294663945866884 2 2 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 0.974549712503681
-509 0.136088893942996 2 3 "GO:0000064" "L-ornithine transmembrane transporter activity" 0.93196351541246
168 0.526294049836381 4 5 "GO:0000146" "microfilament motor activity" 0.974549712503681
7 0.961857201576535 3 16 "GO:0000149" "SNARE binding" 0.997887460183374
-248 0.467732480816885 4 3 "GO:0000175;GO:0008408;GO:0016896;GO:0004532;GO:0016796;GO:0004540" "3'-5'-exoribonuclease activity" 0.974549712503681
-88 0.832959708625324 2 2 "GO:0000182" "rDNA binding" 0.997887460183374
-327 0.143344475726032 3 7 "GO:0000217" "DNA secondary structure binding" 0.93196351541246
-43 0.502055279837388 2 87 "GO:0000287" "magnesium ion binding" 0.974549712503681
-517 0.216204809070334 2 2 "GO:0000293;GO:0016723" "ferric-chelate reductase activity" 0.974549712503681
-524 0.047502373731056 2 5 "GO:0000339" "RNA cap binding" 0.776481227498345
-561 0.100344144795316 3 3 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.846801780754555
8 0.985180775887368 4 2 "GO:0000400" "four-way junction DNA binding" 0.997887460183374
-461 0.0813535295200713 2 5 "GO:0000405" "bubble DNA binding" 0.821408217412333
849 0.0128189944922564 2 3 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.776481227498345
36 0.663662651663748 3 51 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "double-stranded DNA binding" 0.993471855350615
48 0.693832763009426 2 24 "GO:0000978;GO:0000987" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.997887460183374
-64 0.381439873983904 3 67 "GO:0000981;GO:0003700;GO:0140110" "transcription regulator activity" 0.974549712503681
-701 0.0932944323432604 2 2 "GO:0001085" "RNA polymerase II transcription factor binding" 0.846801780754555
-116 0.781001613601188 2 2 "GO:0001103;GO:0061629;GO:0070491" "RNA polymerase II repressing transcription factor binding" 0.997887460183374
31 0.94125094796339 3 2 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.997887460183374
74 0.67924273816304 2 11 "GO:0001530" "lipopolysaccharide binding" 0.993471855350615
8 0.985180775887368 4 2 "GO:0001588;GO:0004952;GO:0098960" "postsynaptic neurotransmitter receptor activity" 0.997887460183374
88 0.590452416565 6 13 "GO:0001594" "trace-amine receptor activity" 0.974549712503681
481 0.158317369841429 2 3 "GO:0001607" "neuromedin U receptor activity" 0.93196351541246
-209 0.350937404512071 3 7 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.974549712503681
-239 0.484389585758368 5 3 "GO:0001616" "growth hormone secretagogue receptor activity" 0.974549712503681
-48 0.855563382871407 2 5 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.997887460183374
-291 0.394251539577082 2 3 "GO:0001641" "group II metabotropic glutamate receptor activity" 0.974549712503681
-29 0.945542714077575 4 2 "GO:0001784;GO:0045309;GO:0051219" "protein phosphorylated amino acid binding" 0.997887460183374
-477 0.253448035992347 2 2 "GO:0001786" "phosphatidylserine binding" 0.974549712503681
-116 0.630056624947815 3 6 "GO:0001965" "G-protein alpha-subunit binding" 0.976275859448842
200 0.557067911906561 3 3 "GO:0001968" "fibronectin binding" 0.974549712503681
-119 0.546382132973563 4 9 "GO:0002020;GO:0019899" "protease binding" 0.974549712503681
-149 0.613374739179633 2 4 "GO:0002039" "p53 binding" 0.974549712503681
255 0.541892859936343 3 2 "GO:0002058;GO:0002061;GO:0002054" "uracil binding" 0.974549712503681
8 0.981651267637342 2 3 "GO:0002161" "aminoacyl-tRNA editing activity" 0.997887460183374
38 0.316602573633308 3 285 "GO:0003676" "nucleic acid binding" 0.974549712503681
13 0.786615321214729 2 159 "GO:0003677" "DNA binding" 0.997887460183374
267 0.0719178854023054 2 16 "GO:0003682" "chromatin binding" 0.811089933376911
-141 0.678890545166417 4 3 "GO:0003689;GO:0033170;GO:0008094" "DNA-dependent ATPase activity" 0.993471855350615
-141 0.678890545166417 2 3 "GO:0003697" "single-stranded DNA binding" 0.993471855350615
-265 0.205816225531941 2 8 "GO:0003712" "transcription coregulator activity" 0.974549712503681
-58 0.845073879399073 3 4 "GO:0003713" "transcription coactivator activity" 0.997887460183374
-409 0.327263931406925 3 2 "GO:0003714" "transcription corepressor activity" 0.974549712503681
37 0.56019016752725 2 88 "GO:0003723" "RNA binding" 0.974549712503681
503 0.228231466636906 5 2 "GO:0003730;GO:0003729" "mRNA binding" 0.974549712503681
135 0.577200878767101 2 6 "GO:0003735" "structural constituent of ribosome" 0.974549712503681
817 0.0505023113456832 2 2 "GO:0003743" "translation initiation factor activity" 0.776481227498345
96 0.746699218496672 2 4 "GO:0003746" "translation elongation factor activity" 0.997887460183374
-90 0.458969339127245 3 24 "GO:0003774" "motor activity" 0.974549712503681
-142 0.427364952785218 2 11 "GO:0003777" "microtubule motor activity" 0.974549712503681
230 0.0371752286647949 2 29 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 0.776481227498345
255 0.541892859936343 6 2 "GO:0003831;GO:0035250;GO:0008378" "beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity" 0.974549712503681
-216 0.605517178503268 3 2 "GO:0003885;GO:0016899" "oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor" 0.974549712503681
-780 0.0619004993639239 5 2 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 0.807285679204508
-15 0.920763428673702 2 16 "GO:0003924" "GTPase activity" 0.997887460183374
-261 0.323405562803319 2 5 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.974549712503681
-307 0.463325625476081 5 2 "GO:0003951" "NAD+ kinase activity" 0.974549712503681
-811 0.0523667722203684 5 2 "GO:0003958;GO:0016653" "NADPH-hemoprotein reductase activity" 0.776481227498345
-530 0.0282176357498921 4 6 "GO:0003964;GO:0034061" "RNA-directed DNA polymerase activity" 0.776481227498345
-25 0.953653596783709 2 2 "GO:0003980;GO:0035251;GO:0046527" "UDP-glucose:glycoprotein glucosyltransferase activity" 0.997887460183374
217 0.411210405953518 2 5 "GO:0003993" "acid phosphatase activity" 0.974549712503681
-31 0.927090795658928 2 3 "GO:0004017" "adenylate kinase activity" 0.997887460183374
-423 0.109447980061777 3 5 "GO:0004062;GO:0008146;GO:0016782" "aryl sulfotransferase activity" 0.846801780754555
-397 0.342578772210074 2 2 "GO:0004064" "arylesterase activity" 0.974549712503681
216 0.527242450553977 3 3 "GO:0004089" "carbonate dehydratase activity" 0.974549712503681
-88 0.657315826557732 3 9 "GO:0004096" "catalase activity" 0.993471855350615
2 0.996279753950333 5 4 "GO:0004111;GO:0016775" "phosphotransferase activity, nitrogenous group as acceptor" 0.997887460183374
107 0.798996185913439 4 2 "GO:0004114;GO:0004112" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.997887460183374
619 0.0698338562035217 3 3 "GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675" "cytochrome-c oxidase activity" 0.811089933376911
255 0.541892859936343 4 2 "GO:0004165" "dodecenoyl-CoA delta-isomerase activity" 0.974549712503681
31 0.572678581598192 2 120 "GO:0004175;GO:0008233" "peptidase activity" 0.974549712503681
-216 0.605517178503268 4 2 "GO:0004176" "ATP-dependent peptidase activity" 0.974549712503681
758 0.00415523878823508 2 5 "GO:0004177" "aminopeptidase activity" 0.776481227498345
-197 0.293111812602516 3 10 "GO:0004180" "carboxypeptidase activity" 0.974549712503681
8 0.981651267637342 3 3 "GO:0004181;GO:0008235" "metalloexopeptidase activity" 0.997887460183374
30 0.930590705632665 2 3 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.997887460183374
-3 0.98713051103019 2 11 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.997887460183374
-280 0.411865554726018 4 3 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.974549712503681
53 0.591419381918304 3 36 "GO:0004222;GO:0008237" "metallopeptidase activity" 0.974549712503681
-62 0.51874281090248 3 38 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.974549712503681
-454 0.276820272066544 2 2 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity" 0.974549712503681
-252 0.546666292993039 3 2 "GO:0004312" "fatty acid synthase activity" 0.974549712503681
-279 0.505235389692706 5 2 "GO:0004322;GO:0016724" "ferroxidase activity" 0.974549712503681
316 0.450277900986391 5 2 "GO:0004362;GO:0015038;GO:0016668;GO:0015037;GO:0015036" "peptide disulfide oxidoreductase activity" 0.974549712503681
244 0.474961729223936 4 3 "GO:0004364" "glutathione transferase activity" 0.974549712503681
211 0.537200658387165 3 3 "GO:0004386" "helicase activity" 0.974549712503681
101 0.810123735295146 4 2 "GO:0004438;GO:0052744;GO:0052866" "phosphatidylinositol monophosphate phosphatase activity" 0.997887460183374
387 0.354282884663178 4 2 "GO:0004457" "lactate dehydrogenase activity" 0.974549712503681
-242 0.413309330440706 3 4 "GO:0004485;GO:0016421;GO:0016885" "ligase activity, forming carbon-carbon bonds" 0.974549712503681
-124 0.305605166691354 2 24 "GO:0004497" "monooxygenase activity" 0.974549712503681
-409 0.327263931406925 5 2 "GO:0004499;GO:0016709" "N,N-dimethylaniline monooxygenase activity" 0.974549712503681
