gene,r
aten_0.1.m1.33483.m1,0.294945848
aten_0.1.m1.3080.m1,0
aten_0.1.m1.3457.m1,0
aten_0.1.m1.3458.m1,0
aten_0.1.m1.3459.m1,0
aten_0.1.m1.13283.m1,0.066385928
aten_0.1.m1.13285.m1,0.066385928
aten_0.1.m1.18366.m1,2.083206992
aten_0.1.m1.13159.m1,0
aten_0.1.m1.13164.m1,0
aten_0.1.m1.13162.m1,0
aten_0.1.m1.12663.m1,0
aten_0.1.m1.12669.m1,0
aten_0.1.m1.2702.m1,0
aten_0.1.m1.2693.m1,0
aten_0.1.m1.2698.m1,0
aten_0.1.m1.3174.m1,0
aten_0.1.m1.3170.m1,0
aten_0.1.m1.3176.m1,0
aten_0.1.m1.10106.m1,0
aten_0.1.m1.31425.m1,0.02009948
aten_0.1.m1.31427.m1,0.02009948
aten_0.1.m1.5108.m1,0
aten_0.1.m1.9569.m1,0.04097599
aten_0.1.m1.28326.m1,0.087176694
aten_0.1.m1.28325.m1,0.087176694
aten_0.1.m1.24045.m1,0.032269261
aten_0.1.m1.24046.m1,0.032269261
aten_0.1.m1.18469.m1,0.242753595
aten_0.1.m1.18474.m1,0.242753595
aten_0.1.m1.8944.m1,0
aten_0.1.m1.4176.m1,1.11E-16
aten_0.1.m1.4179.m1,1.11E-16
aten_0.1.m1.21189.m1,0.062037071
aten_0.1.m1.21192.m1,0.062037071
aten_0.1.m1.21186.m1,0.062037071
aten_0.1.m1.6153.m1,0.076828954
aten_0.1.m1.6160.m1,0.076828954
aten_0.1.m1.29955.m1,0
aten_0.1.m1.27871.m1,0.450223442
aten_0.1.m1.27864.m1,0.450223442
aten_0.1.m1.8432.m1,-0.019752727
aten_0.1.m1.8437.m1,-0.019752727
aten_0.1.m1.21596.m1,0
aten_0.1.m1.632.m1,0
aten_0.1.m1.635.m1,0
aten_0.1.m1.9140.m1,0
aten_0.1.m1.9137.m1,0
aten_0.1.m1.9142.m1,0
aten_0.1.m1.17518.m1,0
aten_0.1.m1.17524.m1,0
aten_0.1.m1.17530.m1,0
aten_0.1.m1.13130.m1,0
aten_0.1.m1.19857.m1,0
aten_0.1.m1.19855.m1,0
aten_0.1.m1.29813.m1,0.029657879
aten_0.1.m1.29385.m1,0
aten_0.1.m1.29397.m1,0
aten_0.1.m1.19013.m1,0
aten_0.1.m1.19010.m1,0
aten_0.1.m1.20757.m1,0
aten_0.1.m1.15784.m1,0.101663651
aten_0.1.m1.15785.m1,0.101663651
aten_0.1.m1.2621.m1,-0.102194634
aten_0.1.m1.2627.m1,-0.102194634
aten_0.1.m1.2620.m1,-0.102194634
aten_0.1.m1.3497.m1,0.010143903
aten_0.1.m1.3494.m1,0.010143903
aten_0.1.m1.2647.m1,0.35216514
aten_0.1.m1.2645.m1,0.35216514
aten_0.1.m1.2643.m1,0.35216514
aten_0.1.m1.25818.m1,0
aten_0.1.m1.25817.m1,0
aten_0.1.m1.12590.m1,0.420761772
aten_0.1.m1.16979.m1,0
aten_0.1.m1.16984.m1,0
aten_0.1.m1.16980.m1,0
