"","Temp","Metric","Region","mean","sd","SE"
"1","Pre","Allelic Richness","Central",0.344797426667688,0.0282505050784933,0.0685172488364021
"2","Pre","Allelic Richness","Hybrid",0.52096602078068,0.0527897337599409,0.0718264530708921
"3","Pre","Allelic Richness","North",0.345083863061959,0.017188558721465,0.0685847725706709
"4","Pre","Shannon Index","Central",0.185842972226527,0.0180534174394419,0.0390625855270893
"5","Pre","Shannon Index","Hybrid",0.253563816659301,0.0337598300091566,0.038990086030191
"6","Pre","Shannon Index","North",0.184448391194772,0.0120609161591884,0.0388177779380166
"7","Pre","He","Central",0.124976979497304,0.0125358286166301,0.0270407746195123
"8","Pre","He","Hybrid",0.166154152448382,0.0233572933996655,0.0269864958047757
"9","Pre","He","North",0.123725181823855,0.00915112577140501,0.0268158398906813
"10","Amb","Allelic Richness","Central",0.348574710883051,0.0274974200816744,0.0686982069316728
"11","Amb","Allelic Richness","Hybrid",0.567609711265987,0.015941355028456,0.0714377205509668
"12","Amb","Allelic Richness","North",0.3500768425621,0.0161450900968301,0.068819937838636
"13","Amb","Shannon Index","Central",0.185356285273744,0.0179032594500031,0.038843070964553
"14","Amb","Shannon Index","Hybrid",0.278599737476025,0.0123484617645252,0.0393508709925914
"15","Amb","Shannon Index","North",0.185582062428264,0.010248114324828,0.0388004761189406
"16","Amb","He","Central",0.124301157106022,0.012527029255297,0.0268765154426449
"17","Amb","He","Hybrid",0.182825004822162,0.00909073229241132,0.0273262200135761
"18","Amb","He","North",0.124314501374316,0.007943307952987,0.0268057417381456
"19","Hot","Allelic Richness","Central",0.294599576217099,0.0247663898650051,0.0656923142728472
"20","Hot","Allelic Richness","Hybrid",0.438733246534426,0.0414439148198691,0.0713262342319257
"21","Hot","Allelic Richness","North",0.303208496081285,0.0176025823125612,0.0662954608443031
"22","Hot","Shannon Index","Central",0.160832704780019,0.0168936073152782,0.0373554496393293
"23","Hot","Shannon Index","Hybrid",0.238284947596446,0.0159580543769373,0.0407642032420942
"24","Hot","Shannon Index","North",0.166268068979958,0.00838846281843482,0.0378164848338197
"25","Hot","He","Central",0.108094884537597,0.0120227294939566,0.0257351571227995
"26","Hot","He","Hybrid",0.159687630304732,0.0095498236669251,0.0281533778001312
"27","Hot","He","North",0.111789341037445,0.00537594197194004,0.0260487898814098
