Diversity metric,Temperature,Central,Hybrid,North,,,,,,,
Allelic Richness,Pre,0.34 ± 0.07,0.52 ± 0.07,0.35 ± 0.07,,,,,,,
Shannon Index,Pre,0.19 ± 0.04,0.25 ± 0.04,0.18 ± 0.04,,,,,,,
He,Pre,0.12 ± 0.03,0.17 ± 0.03,0.12 ± 0.03,,,,,,,
Ho,Pre,0.06 ± 0.0,0.06 ± 0.0,0.06 ± 0.0,,,,,,,
Allelic Richness,Ambient,0.35 ± 0.07,0.57 ± 0.07,0.35 ± 0.07,,,,,,,
Shannon Index,Ambient,0.19 ± 0.04,0.28 ± 0.04,0.19 ± 0.04,,,,,,,
He,Ambient,0.12 ± 0.03,0.18 ± 0.03,0.12 ± 0.03,,,,,,,
Ho,Ambient,0.06 ± 0.0,0.07 ± 0.0,0.06 ± 0.0,,,,,,,
Allelic Richness,Hot,0.29 ± 0.07,0.44 ± 0.07,0.3 ± 0.07,,,,,,,
Shannon Index,Hot,0.16 ± 0.04,0.24 ± 0.04,0.17 ± 0.04,,,,,,,
He,Hot,0.11 ± 0.03,0.16 ± 0.03,0.11 ± 0.03,,,,,,,
Ho,Hot,0.07 ± 0.0,0.08 ± 0.0,0.07 ± 0.0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Diversity metric,Temperature,Central,Hybrid,North,,,Diversity metric,Temperature,Central,Hybrid,North
Allelic Richness,Pre,0.34 ± 0.07,0.52 ± 0.07,0.35 ± 0.07,,,Allelic Richness,Pre,0.34 ± 0.07,0.52 ± 0.07,0.35 ± 0.07
Allelic Richness,Ambient,0.35 ± 0.07,0.57 ± 0.07,0.35 ± 0.07,,,Allelic Richness,Ambient,0.35 ± 0.07,0.57 ± 0.07,0.35 ± 0.07
Allelic Richness,Hot,0.29 ± 0.07,0.44 ± 0.07,0.3 ± 0.07,,,Allelic Richness,Hot,0.29 ± 0.07,0.44 ± 0.07,0.3 ± 0.07
Shannon Index,Pre,0.19 ± 0.04,0.25 ± 0.04,0.18 ± 0.04,,,,,,,
Shannon Index,Ambient,0.19 ± 0.04,0.28 ± 0.04,0.19 ± 0.04,,,Shannon Index,Pre,0.19 ± 0.04,0.25 ± 0.04,0.18 ± 0.04
Shannon Index,Hot,0.16 ± 0.04,0.24 ± 0.04,0.17 ± 0.04,,,Shannon Index,Ambient,0.19 ± 0.04,0.28 ± 0.04,0.19 ± 0.04
He,Pre,0.12 ± 0.03,0.17 ± 0.03,0.12 ± 0.03,,,Shannon Index,Hot,0.16 ± 0.04,0.24 ± 0.04,0.17 ± 0.04
He,Ambient,0.12 ± 0.03,0.18 ± 0.03,0.12 ± 0.03,,,,,,,
He,Hot,0.11 ± 0.03,0.16 ± 0.03,0.11 ± 0.03,,,He,Pre,0.12 ± 0.03,0.17 ± 0.03,0.12 ± 0.03
Ho,Pre,0.06 ± 0.0,0.06 ± 0.0,0.06 ± 0.0,,,He,Ambient,0.12 ± 0.03,0.18 ± 0.03,0.12 ± 0.03
Ho,Ambient,0.06 ± 0.0,0.07 ± 0.0,0.06 ± 0.0,,,He,Hot,0.11 ± 0.03,0.16 ± 0.03,0.11 ± 0.03
Ho,Hot,0.07 ± 0.0,0.08 ± 0.0,0.07 ± 0.0,,,,,,,
,,,,,,,Ho,Pre,0.06 ± 0.0,0.06 ± 0.0,0.06 ± 0.0
,,,,,,,Ho,Ambient,0.06 ± 0.0,0.07 ± 0.0,0.06 ± 0.0
,,,,,,,Ho,Hot,0.07 ± 0.0,0.08 ± 0.0,0.07 ± 0.0
