Lifestage,group,Region,parent,mean,se
larv,Sires,Central,Davies1,0.089059885,0.211300997
larv,Sires,Central,Davies10,0.291029391,0.237523536
larv,Sires,Central,Davies13,0.411827848,0.243757116
larv,Sires,Central,Davies6,-0.851666459,0.285905537
larv,Sires,Central,Davies8,0.325164592,0.387502872
larv,Sires,North,Jewell2,0.443212453,0.251710757
larv,Sires,North,Jewell3,0.342331778,0.294412634
larv,Sires,North,Jewell8,-0.528150074,0.359570796
larv,Sires,Central,Palms1,0.412518922,0.234059059
larv,Sires,Central,Palms2,-0.261785002,0.451267956
larv,Sires,Central,Palms4,-0.053464116,0.23929267
larv,Sires,Central,Palms5,-0.377080633,0.255861439
larv,Sires,North,Parke2,0.316866818,0.474245353
larv,Sires,North,Parke4,-0.614971269,0.468283718
larv,Sires,North,Parke5,0.12218145,0.418441686
larv,Sires,North,Switzer6,0.307009844,0.488325705
larv,Sires,North,Switzer7,-0.516053551,0.520222575
larv,Dams,Central,Davies1,0.36241542,0.549837715
larv,Dams,Central,Davies13,1.168917061,0.420588546
larv,Dams,Central,Davies6,-1.189573165,0.549009514
larv,Dams,Central,Davies8,0.778613295,0.422158616
larv,Dams,North,Jewell2,0.173525029,0.361194782
larv,Dams,North,Jewell3,-0.666024525,0.424634016
larv,Dams,North,Jewell5,-0.277011167,0.472994007
larv,Dams,North,Jewell6,2.719964454,0.391055553
larv,Dams,North,Jewell7,2.662328186,0.454723365
larv,Dams,North,Jewell8,1.086991857,0.349533226
larv,Dams,Central,Palms2,-1.401727565,0.539074328
larv,Dams,Central,Palms4,-0.722080692,0.484745553
larv,Dams,Central,Palms5,0.290589083,0.476116845
larv,Dams,North,Parke2,0.498489855,0.502638665
larv,Dams,North,Parke4,-1.607510603,0.566859508
larv,Dams,North,Parke5,-0.226840941,0.448985615
larv,Dams,North,Switzer2,-0.044747516,0.398441795
larv,Dams,North,Switzer4,-0.975649342,0.543815191
larv,Dams,North,Switzer6,-1.413955713,0.670891071
larv,Dams,North,Switzer7,-1.769535126,0.574912365
juv,Sires,Central,Davies1,-0.068944496,0.185272079
juv,Sires,Central,Davies10,-0.001039434,0.246324406
juv,Sires,Central,Davies13,0.728810602,0.383816708
juv,Sires,Central,Davies6,-0.727349481,0.213524646
juv,Sires,Central,Davies8,-0.189294219,0.268819267
juv,Sires,North,Jewell2,0.169099058,0.310460318
juv,Sires,North,Jewell3,0.177031467,0.317923832
juv,Sires,North,Jewell8,0.240005359,0.354899362
juv,Sires,Central,Palms1,-0.31838196,0.217767448
juv,Sires,Central,Palms2,-0.177528898,0.316442253
juv,Sires,Central,Palms4,-0.079067262,0.231521783
juv,Sires,Central,Palms5,0.535933074,0.298191072
juv,Sires,North,Parke2,0.010503526,0.342164521
juv,Sires,North,Parke4,0.401384338,0.332045697
juv,Sires,North,Parke5,-0.006327773,0.352929118
juv,Sires,North,Switzer4,-0.559599267,0.336089797
juv,Sires,North,Switzer6,-0.246704503,0.329989684
juv,Sires,North,Switzer7,0.160850269,0.317450302
juv,Dams,Central,Davies1,0.395273825,0.316461274
juv,Dams,Central,Davies13,-0.217999175,0.253597944
juv,Dams,Central,Davies6,0.193398293,0.284426173
juv,Dams,Central,Davies8,-0.402802983,0.230278813
juv,Dams,North,Jewell2,-0.414718248,0.237648556
juv,Dams,North,Jewell3,0.092222198,0.230727689
juv,Dams,North,Jewell5,0.038067996,0.298538939
juv,Dams,North,Jewell6,0.014006409,0.267294939
juv,Dams,North,Jewell7,0.205636571,0.292881832
juv,Dams,North,Jewell8,0.331846006,0.16485057
juv,Dams,Central,Palms2,-0.001103052,0.243287339
juv,Dams,Central,Palms4,-0.531932002,0.223244504
juv,Dams,Central,Palms5,0.032380464,0.268716766
juv,Dams,North,Parke2,-0.001410032,0.32946937
juv,Dams,North,Parke4,0.227867721,0.26533277
juv,Dams,North,Parke5,0.039117663,0.21601947
juv,Dams,North,Switzer2,0.496271451,0.220631463
juv,Dams,North,Switzer4,-0.306609191,0.261707094
juv,Dams,North,Switzer6,0.01847757,0.231569467
juv,Dams,North,Switzer7,-0.197414198,0.267933275
