Sex,Region,IID,parent_sex,mean,se,lower_hdi,upper_hdi
Sires,Central,Davies1,Davies1d,0.089059885,0.211300997,-0.336037217,0.49719894
Sires,Central,Davies10,Davies10d,0.291029391,0.237523536,-0.193370796,0.752030586
Sires,Central,Davies13,Davies13d,0.411827848,0.243757116,-0.052104568,0.921446032
Sires,Central,Davies6,Davies6d,-0.851666459,0.285905537,-1.465409982,-0.333706719
Sires,Central,Davies8,Davies8d,0.325164592,0.387502872,-0.396061827,1.138804429
Sires,North,Jewell2,Jewell2d,0.443212453,0.251710757,-0.032909618,0.9431265
Sires,North,Jewell3,Jewell3d,0.342331778,0.294412634,-0.213003973,0.930326201
Sires,North,Jewell8,Jewell8d,-0.528150074,0.359570796,-1.28040841,0.10680024
Sires,Central,Palms1,Palms1d,0.412518922,0.234059059,-0.042820219,0.873577491
Sires,Central,Palms2,Palms2d,-0.261785002,0.451267956,-1.221618063,0.629093241
Sires,Central,Palms4,Palms4d,-0.053464116,0.23929267,-0.525779068,0.408976725
Sires,Central,Palms5,Palms5d,-0.377080633,0.255861439,-0.881282091,0.132425861
Sires,North,Parke2,Parke2d,0.316866818,0.474245353,-0.549746901,1.314186233
Sires,North,Parke4,Parke4d,-0.614971269,0.468283718,-1.615148585,0.195901426
Sires,North,Parke5,Parke5d,0.12218145,0.418441686,-0.644135589,1.028642397
Sires,North,Switzer6,Switzer6d,0.307009844,0.488325705,-0.560923067,1.306691239
Sires,North,Switzer7,Switzer7d,-0.516053551,0.520222575,-1.704837459,0.413388714
Dams,Central,Davies1,Davies1m,0.36241542,0.549837715,-0.732351047,1.430299333
Dams,Central,Davies13,Davies13m,1.168917061,0.420588546,0.364393433,1.997348761
Dams,Central,Davies6,Davies6m,-1.189573165,0.549009514,-2.290786017,-0.179801169
Dams,Central,Davies8,Davies8m,0.778613295,0.422158616,-0.021226314,1.603554171
Dams,North,Jewell2,Jewell2m,0.173525029,0.361194782,-0.536239461,0.885491352
Dams,North,Jewell3,Jewell3m,-0.666024525,0.424634016,-1.479519719,0.134327773
Dams,North,Jewell5,Jewell5m,-0.277011167,0.472994007,-1.217600169,0.658788515
Dams,North,Jewell6,Jewell6m,2.719964454,0.391055553,1.979947519,3.522226432
Dams,North,Jewell7,Jewell7m,2.662328186,0.454723365,1.793503386,3.570325327
Dams,North,Jewell8,Jewell8m,1.086991857,0.349533226,0.403259994,1.772557214
Dams,Central,Palms2,Palms2m,-1.401727565,0.539074328,-2.480227035,-0.402471958
Dams,Central,Palms4,Palms4m,-0.722080692,0.484745553,-1.675327208,0.221648789
Dams,Central,Palms5,Palms5m,0.290589083,0.476116845,-0.65121095,1.242128296
Dams,North,Parke2,Parke2m,0.498489855,0.502638665,-0.52431607,1.458938032
Dams,North,Parke4,Parke4m,-1.607510603,0.566859508,-2.789198866,-0.546676009
Dams,North,Parke5,Parke5m,-0.226840941,0.448985615,-1.116363763,0.627150408
Dams,North,Switzer2,Switzer2m,-0.044747516,0.398441795,-0.815103692,0.727236955
Dams,North,Switzer4,Switzer4m,-0.975649342,0.543815191,-2.024744367,0.056415029
Dams,North,Switzer6,Switzer6m,-1.413955713,0.670891071,-2.794644567,-0.219139381
Dams,North,Switzer7,Switzer7m,-1.769535126,0.574912365,-2.915955351,-0.677155071
