aten_0.1.m1.32758	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.11911	Transcription
aten_0.1.m1.5551	Signal transduction mechanisms
aten_0.1.m1.21869	
aten_0.1.m1.8238	Amino acid transport and metabolism
aten_0.1.m1.28051	Signal transduction mechanisms
aten_0.1.m1.8881	
aten_0.1.m1.21141	Signal transduction mechanisms
aten_0.1.m1.5391	
aten_0.1.m1.25369	
aten_0.1.m1.1867	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.23510	
aten_0.1.m1.14240	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.23140	RNA processing and modification
aten_0.1.m1.14389	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.19016	Signal transduction mechanisms
aten_0.1.m1.36046	Transcription
aten_0.1.m1.815	Lipid transport and metabolism
aten_0.1.m1.550	
aten_0.1.m1.10847	
aten_0.1.m1.1797	Transcription
aten_0.1.m1.18396	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.13312	RNA processing and modification
aten_0.1.m1.9188	
aten_0.1.m1.21163	
aten_0.1.m1.20210	Defense mechanisms
aten_0.1.m1.13450	
aten_0.1.m1.21696	Nucleotide transport and metabolism
aten_0.1.m1.36473	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.31851	Signal transduction mechanisms
aten_0.1.m1.13708	
aten_0.1.m1.25853	
aten_0.1.m1.14049	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.2926	Cytoskeleton
aten_0.1.m1.9047	Carbohydrate transport and metabolism
aten_0.1.m1.8266	RNA processing and modification
aten_0.1.m1.30542	Energy production and conversion
aten_0.1.m1.11800	Signal transduction mechanisms
aten_0.1.m1.13438	
aten_0.1.m1.27922	Cytoskeleton
aten_0.1.m1.3109	Transcription
aten_0.1.m1.3738	Amino acid transport and metabolism
aten_0.1.m1.35956	Amino acid transport and metabolism
aten_0.1.m1.22473	Chromatin structure and dynamics
aten_0.1.m1.17226	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.23252	Chromatin structure and dynamics
aten_0.1.m1.7829	Translation, ribosomal structure and biogenesis
aten_0.1.m1.24229	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.28770	Translation, ribosomal structure and biogenesis
aten_0.1.m1.15699	Replication, recombination and repair
aten_0.1.m1.10866	Signal transduction mechanisms
aten_0.1.m1.16998	Amino acid transport and metabolism
aten_0.1.m1.4656	Translation, ribosomal structure and biogenesis
aten_0.1.m1.9019	Carbohydrate transport and metabolism
aten_0.1.m1.21151	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.17209	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.23055	Cytoskeleton
aten_0.1.m1.29128	Transcription
aten_0.1.m1.4310	
aten_0.1.m1.5200	
aten_0.1.m1.24029	Amino acid transport and metabolism
aten_0.1.m1.27526	Replication, recombination and repair
aten_0.1.m1.8715	
aten_0.1.m1.11384	Replication, recombination and repair
aten_0.1.m1.896	Amino acid transport and metabolism
aten_0.1.m1.1326	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.21094	Amino acid transport and metabolism
aten_0.1.m1.9951	Signal transduction mechanisms
aten_0.1.m1.30525	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.28737	
aten_0.1.m1.11248	Signal transduction mechanisms
aten_0.1.m1.25338	Replication, recombination and repair
aten_0.1.m1.3603	Amino acid transport and metabolism
aten_0.1.m1.32907	Energy production and conversion
aten_0.1.m1.936	Signal transduction mechanisms
aten_0.1.m1.32705	Translation, ribosomal structure and biogenesis
aten_0.1.m1.29927	Signal transduction mechanisms
aten_0.1.m1.10774	Replication, recombination and repair
aten_0.1.m1.23863	Signal transduction mechanisms
aten_0.1.m1.18930	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.512	Signal transduction mechanisms
aten_0.1.m1.21494	Translation, ribosomal structure and biogenesis
aten_0.1.m1.25680	Replication, recombination and repair
aten_0.1.m1.32324	
aten_0.1.m1.12595	Carbohydrate transport and metabolism
aten_0.1.m1.38149	
aten_0.1.m1.28452	
aten_0.1.m1.32462	
aten_0.1.m1.1803	Nucleotide transport and metabolism
aten_0.1.m1.24483	Replication, recombination and repair
aten_0.1.m1.38130	Signal transduction mechanisms
aten_0.1.m1.12775	Signal transduction mechanisms
aten_0.1.m1.31839	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.32650	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.14898	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.33830	
aten_0.1.m1.22821	Signal transduction mechanisms
aten_0.1.m1.35295	Chromatin structure and dynamics
aten_0.1.m1.12729	
aten_0.1.m1.22431	Carbohydrate transport and metabolism
aten_0.1.m1.24579	Replication, recombination and repair
aten_0.1.m1.15023	Signal transduction mechanisms
aten_0.1.m1.31133	Transcription
aten_0.1.m1.36570	Amino acid transport and metabolism
aten_0.1.m1.10261	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.24876	Signal transduction mechanisms
aten_0.1.m1.12615	Signal transduction mechanisms
aten_0.1.m1.1696	Amino acid transport and metabolism
aten_0.1.m1.18740	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.19204	
aten_0.1.m1.1469	
aten_0.1.m1.12556	
aten_0.1.m1.27954	RNA processing and modification
aten_0.1.m1.26176	Transcription
aten_0.1.m1.29113	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.224	RNA processing and modification
aten_0.1.m1.3837	Amino acid transport and metabolism
aten_0.1.m1.17910	RNA processing and modification
aten_0.1.m1.1169	RNA processing and modification
aten_0.1.m1.36329	Nucleotide transport and metabolism
aten_0.1.m1.7684	Chromatin structure and dynamics
aten_0.1.m1.33868	Chromatin structure and dynamics
aten_0.1.m1.30748	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.22764	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.30658	Transcription
aten_0.1.m1.4320	Carbohydrate transport and metabolism
aten_0.1.m1.3255	Signal transduction mechanisms
aten_0.1.m1.23819	Cytoskeleton
aten_0.1.m1.34850	
aten_0.1.m1.26889	
aten_0.1.m1.23896	Amino acid transport and metabolism
aten_0.1.m1.5292	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.29581	Signal transduction mechanisms
aten_0.1.m1.13308	Translation, ribosomal structure and biogenesis
aten_0.1.m1.15299	
aten_0.1.m1.21671	
aten_0.1.m1.14523	
aten_0.1.m1.10352	
aten_0.1.m1.33747	
aten_0.1.m1.18059	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.37228	
aten_0.1.m1.12462	Cytoskeleton
aten_0.1.m1.12915	Transcription
aten_0.1.m1.22437	Energy production and conversion
aten_0.1.m1.36215	
aten_0.1.m1.24635	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.28186	Transcription
aten_0.1.m1.30182	Signal transduction mechanisms
aten_0.1.m1.13065	Signal transduction mechanisms
aten_0.1.m1.7260	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.14250	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.5387	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.1704	Signal transduction mechanisms
aten_0.1.m1.33862	
aten_0.1.m1.25161	Signal transduction mechanisms
aten_0.1.m1.10548	
aten_0.1.m1.260	
aten_0.1.m1.22617	Amino acid transport and metabolism
aten_0.1.m1.2426	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.2050	
aten_0.1.m1.10643	
aten_0.1.m1.1367	Translation, ribosomal structure and biogenesis
aten_0.1.m1.87	Signal transduction mechanisms
aten_0.1.m1.11659	
aten_0.1.m1.20718	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.20078	
aten_0.1.m1.36150	
aten_0.1.m1.31786	
aten_0.1.m1.16258	Nuclear structure
aten_0.1.m1.24929	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.11450	Replication, recombination and repair
aten_0.1.m1.22524	Signal transduction mechanisms
aten_0.1.m1.32460	Carbohydrate transport and metabolism
aten_0.1.m1.22843	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.3551	
aten_0.1.m1.11829	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.18961	Replication, recombination and repair
aten_0.1.m1.6588	
aten_0.1.m1.155	Signal transduction mechanisms
aten_0.1.m1.29831	Signal transduction mechanisms
aten_0.1.m1.1198	
aten_0.1.m1.22173	Nucleotide transport and metabolism
aten_0.1.m1.28354	Replication, recombination and repair
aten_0.1.m1.7326	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.18374	
aten_0.1.m1.34562	Cytoskeleton
aten_0.1.m1.10529	
aten_0.1.m1.32239	Cytoskeleton
aten_0.1.m1.3309	Cytoskeleton
aten_0.1.m1.13036	
aten_0.1.m1.35245	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.23967	
aten_0.1.m1.32992	
aten_0.1.m1.36404	Replication, recombination and repair
aten_0.1.m1.7828	Signal transduction mechanisms
aten_0.1.m1.7411	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.36573	
aten_0.1.m1.8832	
aten_0.1.m1.8496	
aten_0.1.m1.12448	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.20391	
aten_0.1.m1.24022	
aten_0.1.m1.18674	Replication, recombination and repair
aten_0.1.m1.26523	
aten_0.1.m1.10709	Carbohydrate transport and metabolism
aten_0.1.m1.2681	Energy production and conversion
aten_0.1.m1.8857	Signal transduction mechanisms
aten_0.1.m1.16844	Energy production and conversion
aten_0.1.m1.26660	
aten_0.1.m1.7014	Translation, ribosomal structure and biogenesis
aten_0.1.m1.32794	
aten_0.1.m1.22651	Signal transduction mechanisms
aten_0.1.m1.7178	Signal transduction mechanisms
aten_0.1.m1.17198	
aten_0.1.m1.5816	Lipid transport and metabolism
aten_0.1.m1.14704	
aten_0.1.m1.37698	
aten_0.1.m1.28741	Lipid transport and metabolism
aten_0.1.m1.7062	Signal transduction mechanisms
aten_0.1.m1.20108	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.12986	RNA processing and modification
aten_0.1.m1.546	Signal transduction mechanisms
aten_0.1.m1.15267	Energy production and conversion
aten_0.1.m1.24613	
aten_0.1.m1.11534	Inorganic ion transport and metabolism
aten_0.1.m1.5124	RNA processing and modification
aten_0.1.m1.13093	Transcription
aten_0.1.m1.20002	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.10624	Lipid transport and metabolism
aten_0.1.m1.17769	Signal transduction mechanisms
aten_0.1.m1.14982	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.15822	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.29152	
aten_0.1.m1.9102	Cell wall/membrane/envelope biogenesis
aten_0.1.m1.20398	Replication, recombination and repair
aten_0.1.m1.31368	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.14543	Signal transduction mechanisms
aten_0.1.m1.32461	Transcription
aten_0.1.m1.5588	Carbohydrate transport and metabolism
aten_0.1.m1.8935	
aten_0.1.m1.17235	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.38123	Signal transduction mechanisms
aten_0.1.m1.2741	Intracellular trafficking, secretion, and vesicular transport
aten_0.1.m1.7021	
aten_0.1.m1.3796	Transcription
aten_0.1.m1.13812	Replication, recombination and repair
aten_0.1.m1.19290	Replication, recombination and repair
aten_0.1.m1.6657	
aten_0.1.m1.5197	Inorganic ion transport and metabolism
aten_0.1.m1.25945	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.11624	Signal transduction mechanisms
aten_0.1.m1.34187	Posttranslational modification, protein turnover, chaperones
aten_0.1.m1.14171	
aten_0.1.m1.34756	Transcription
