aten_id,aten_id2,evalue,saccver,method,kegg,has_signal,pfam,Entry,Status,Protein names,Gene names,Organism,Length,Organism ID,EC number,Gene ontology IDs,Cross-reference (KEGG),Cross-reference (GeneID),Ensembl transcript,Cross-reference (eggNOG),Cross-reference (KO),Cross-reference (OrthoDB),Cross-reference (BioCyc),Cross-reference (BRENDA),Cross-reference (Reactome),ipr_go
aten_0.1.m1.25222.m1,aten_0.1.m1.25222,4.05E-09,CRLA_DICDI,blastp,NA,NA,PF11970.7;PF05462.10;PF11710.7;PF05145.11;PF00001.20;PF04326.13;PF01534.16;PF09843.8;PF00002.23;PF09972.8;PF01529.19,Q54U75,reviewed,Cyclic AMP receptor-like protein A,crlA DDB_G0280983,Dictyostelium discoideum (Slime mold),369,44689,NA,GO:0001646; GO:0007165; GO:0016021; GO:0030308; GO:0030435,ddi:DDB_G0280983;,8622960;,NA,ENOG410IGCQ;ENOG4110A1U;,K22987;,NA,NA,NA,NA,
aten_0.1.m1.32758.m1,aten_0.1.m1.32758,0,TTC28_HUMAN,blastp,NA,NA,PF13424.5;PF13176.5;PF00515.27;PF13374.5;PF13181.5;PF07719.16;PF12770.6;PF13428.5;PF10579.8;PF13432.5;PF13431.5;PF11192.7;PF13174.5;PF14559.5;PF07721.13;PF10602.8;PF13414.5;PF17177.3;PF01535.19;PF17140.3;PF12968.6;PF14853.5,Q96AY4,reviewed,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),TTC28 KIAA1043 TPRBK,Homo sapiens (Human),2481,9606,NA,GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686,hsa:23331;,23331;,ENST00000397906;,KOG0548;KOG1130;COG0457;COG4995;ENOG410XP6N;,NA,733786at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.13900.m1,aten_0.1.m1.13900,7.50E-39,CTHR1_RAT,blastp,NA,YES,PF01391.17,Q8CG08,reviewed,Collagen triple helix repeat-containing protein 1,Cthrc1,Rattus norvegicus (Rat),245,10116,NA,GO:0005109; GO:0005581; GO:0005615; GO:0005737; GO:0016477; GO:0017147; GO:0031012; GO:0032092; GO:0033690; GO:0043932; GO:0045669; GO:0060071; GO:0060122; GO:0090090; GO:0090103; GO:0090177,rno:282836;,282836;,ENSRNOT00000006142;,ENOG410IHSA;ENOG4111TT8;,NA,1198971at2759;,NA,NA,NA,
aten_0.1.m1.1627.m1,aten_0.1.m1.1627,2.29E-17,HIG2A_HUMAN,blastp,NA,NA,PF04588.12;PF01496.18;PF17304.1,Q9BW72,reviewed,"HIG1 domain family member 2A, mitochondrial (RCF1 homolog B) (RCF1b)",HIGD2A,Homo sapiens (Human),106,9606,NA,GO:0005743; GO:0016021; GO:0043066; GO:0055114; GO:0070469,hsa:192286;,192286;,ENST00000274787;,KOG4431;ENOG41121ET;,NA,1307900at2759;,NA,NA,NA,
aten_0.1.m1.11911.m1,aten_0.1.m1.11911,8.13E-27,ROUGH_DROME,blastp,K08025,NA,PF00046.28;PF08880.10;PF05920.10;PF11569.7,P10181,reviewed,Homeobox protein rough,ro CG6348,Drosophila melanogaster (Fruit fly),350,7227,NA,GO:0001012; GO:0005634; GO:0007463; GO:0007601; GO:0042067; GO:0043565; GO:0045944; GO:0048054; GO:0050896,dme:Dmel_CG6348;,43234;,NA,KOG0489;ENOG410ZTBY;,K09362;,1583482at2759;,NA,NA,NA,GO:0003677;GO:0006355;GO:0043565
aten_0.1.m1.5551.m1,aten_0.1.m1.5551,3.18E-08,DDR2_HUMAN,blastp,NA,NA,PF00754.24,Q16832,reviewed,"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)",DDR2 NTRKR3 TKT TYRO10,Homo sapiens (Human),855,9606,2.7.10.1,GO:0001503; GO:0001952; GO:0003416; GO:0004714; GO:0005518; GO:0005524; GO:0005886; GO:0005887; GO:0005925; GO:0007155; GO:0007160; GO:0007165; GO:0007169; GO:0008284; GO:0010715; GO:0010763; GO:0015629; GO:0016324; GO:0018108; GO:0030154; GO:0030198; GO:0030199; GO:0030500; GO:0031214; GO:0035988; GO:0038062; GO:0038063; GO:0043235; GO:0045669; GO:0045860; GO:0046777; GO:0048146; GO:0051091; GO:0090091; GO:1903053,hsa:4921;,4921;,ENST00000367921;ENST00000367922;ENST00000446985;,KOG1094;ENOG410XQAI;,K05125;,227725at2759;,NA,2.7.10.1;,R-HSA-3000171;,
aten_0.1.m1.21869.m1,aten_0.1.m1.21869,4.39E-07,G2E3_CHICK,blastp,NA,NA,PF00632.24;PF02845.15,Q5F4A1,reviewed,G2/M phase-specific E3 ubiquitin-protein ligase (EC 2.3.2.26) (G2/M phase-specific HECT-type E3 ubiquitin transferase),G2E3 RCJMB04_1m6,Gallus gallus (Chicken),742,9031,2.3.2.26,GO:0004842; GO:0005730; GO:0005737; GO:0006915; GO:0007275; GO:0046872,gga:423305;,423305;,NA,ENOG410IPTH;ENOG410ZNVY;,K22371;,199998at2759;,NA,NA,NA,GO:0004842
aten_0.1.m1.8238.m1,aten_0.1.m1.8238,1.06E-28,NUCL_MESAU,blastp,K11294,NA,PF00076.21,P08199,reviewed,Nucleolin (Protein C23),NCL,Mesocricetus auratus (Golden hamster),714,10036,NA,GO:0003723; GO:0005730; GO:0005737; GO:0042162; GO:1990904,NA,NA,NA,NA,NA,NA,NA,NA,NA,GO:0003676
aten_0.1.m1.28051.m1,aten_0.1.m1.28051,4.15E-170,FAF1_MOUSE,blastp,K20703,NA,PF00789.19;PF14555.5;PF00240.22;PF16019.4;PF15001.5,P54731,reviewed,FAS-associated factor 1,Faf1,Mus musculus (Mouse),649,10090,NA,GO:0005634; GO:0005635; GO:0005737; GO:0005829; GO:0006915; GO:0007253; GO:0008219; GO:0010942; GO:0019901; GO:0019904; GO:0030155; GO:0031072; GO:0031334; GO:0031625; GO:0034098; GO:0042176; GO:0043130; GO:0045740; GO:0048471; GO:0051059; GO:1902043; GO:1903364,mmu:14084;,14084;,ENSMUST00000102724;,ENOG410IPG5;ENOG410Z9BT;,K20703;,845154at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.11688.m1,aten_0.1.m1.11688,1.51E-08,DZIP3_MOUSE,blastp,NA,NA,NA,Q7TPV2,reviewed,E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3 homolog) (RING-type E3 ubiquitin transferase DZIP3),Dzip3 Kiaa0675,Mus musculus (Mouse),1204,10090,2.3.2.27,GO:0000209; GO:0003723; GO:0004842; GO:0005737; GO:0019902; GO:0031593; GO:0046872; GO:0061630,mmu:224170;,224170;,ENSMUST00000114516 [Q7TPV2-2];,ENOG410IFEY;ENOG410Y41H;,K10642;,67312at2759;,NA,NA,R-MMU-983168;,
